Probeset ID,pval_severe_vs_mild,adj_pval_severe_vs_mild,ratio_severe_vs_mild,FC_severe_vs_mild,pval_severe_vs_healthy,adj_pval_severe_vs_healthy,ratio_severe_vs_healthy,FC_severe_vs_healthy
A2M,0.258157,0.935545,0.610045,-1.63922,0.00963183,0.290053,0.337673,-2.96144
A2M-AS1,0.296413,0.935545,0.558192,-1.7915,0.186636,0.687255,0.477258,-2.0953
AAAS,0.695618,0.967761,1.10062,1.10062,0.840984,0.96996,1.05283,1.05283
AAGAB,0.821075,0.982105,0.92356,-1.08277,0.735487,0.952746,0.88024,-1.13605
AAK1,0.918463,0.992315,0.974256,-1.02642,0.439368,0.871152,0.819847,-1.21974
AAMP,0.668958,0.966741,1.1127,1.1127,0.649999,0.929455,1.13525,1.13525
AAR2,0.350244,0.93951,1.32491,1.32491,0.993864,0.998799,0.997797,-1.00221
AARS1,0.0264875,0.935545,2.56612,2.56612,0.125337,0.612084,1.72538,1.72538
AARS2,0.152681,0.935545,1.51774,1.51774,0.935878,0.985982,1.02027,1.02027
AASDH,0.440924,0.94373,0.757871,-1.31949,0.129757,0.615512,0.578497,-1.72862
AASDHPPT,0.864896,0.989507,0.949943,-1.05269,0.173017,0.672688,0.662657,-1.50908
AATF,0.277975,0.935545,1.22416,1.22416,0.413947,0.86081,1.16761,1.16761
AATK,0.272514,0.935545,0.774993,-1.29033,0.890915,0.978564,1.04179,1.04179
ABALON,0.17619,0.935545,0.305919,-3.26884,0.3969,0.852108,0.401874,-2.48834
ABAT,0.579087,0.951046,1.1341,1.1341,0.651949,0.930488,1.1275,1.1275
ABCA1,0.80701,0.982085,0.928569,-1.07693,0.190137,0.689782,1.72928,1.72928
ABCA2,0.924408,0.992315,0.977351,-1.02317,0.665862,0.932287,1.13092,1.13092
ABCA5,0.518639,0.946365,0.849267,-1.17749,0.179218,0.680475,0.70464,-1.41916
ABCA7,0.842315,0.984502,0.961067,-1.04051,0.162499,0.656886,0.767389,-1.30312
ABCB1,0.118005,0.935545,0.512383,-1.95166,0.0388211,0.426332,0.38038,-2.62895
ABCB10,0.88451,0.992315,0.928446,-1.07707,0.672428,0.933041,1.29581,1.29581
ABCB7,0.0647657,0.935545,0.710754,-1.40696,0.473935,0.880265,0.857515,-1.16616
ABCB8,0.225058,0.935545,1.53517,1.53517,0.542878,0.902314,0.837159,-1.19452
ABCC1,0.782745,0.979908,1.05293,1.05293,0.939124,0.987239,0.985286,-1.01493
ABCC10,0.719282,0.970579,0.903014,-1.1074,0.92393,0.98437,1.03039,1.03039
ABCC3,0.334742,0.937014,1.32281,1.32281,0.438299,0.870576,1.28494,1.28494
ABCC4,0.164907,0.935545,1.48978,1.48978,0.0816625,0.534785,1.76941,1.76941
ABCC5,0.590442,0.952807,1.11657,1.11657,0.149626,0.637676,0.73344,-1.36344
ABCC6,0.628183,0.958548,1.13862,1.13862,0.391351,0.849043,1.29612,1.29612
ABCD2,0.0260846,0.935545,0.339275,-2.94747,0.200501,0.700959,0.46335,-2.1582
ABCD3,0.794193,0.980456,0.898393,-1.1131,0.52039,0.896906,0.772919,-1.2938
ABCD4,0.530195,0.947353,0.868359,-1.1516,0.216826,0.715705,0.758638,-1.31815
ABCE1,0.765917,0.97614,0.917472,-1.08995,0.305763,0.79419,0.731013,-1.36796
ABCF1,0.176435,0.935545,1.49099,1.49099,0.56209,0.911745,1.17972,1.17972
ABCF2,0.0985789,0.935545,1.62336,1.62336,0.358235,0.824599,1.28285,1.28285
ABCF3,0.916904,0.992315,1.02671,1.02671,0.782923,0.963427,1.07767,1.07767
ABCG1,0.48184,0.94373,0.825745,-1.21103,0.941013,0.988498,0.977495,-1.02302
ABHD10,0.153234,0.935545,0.659503,-1.51629,0.0108146,0.300368,0.473978,-2.1098
ABHD11,0.894428,0.992315,1.03522,1.03522,0.762856,0.957803,1.08477,1.08477
ABHD12,0.660749,0.964865,1.17153,1.17153,0.389308,0.846904,1.4607,1.4607
ABHD12B,0.278505,0.935545,1.34497,1.34497,0.58981,0.916522,0.882819,-1.13273
ABHD13,0.208012,0.935545,0.650995,-1.53611,0.356874,0.823946,0.699143,-1.43032
ABHD14A,0.925542,0.992553,0.976546,-1.02402,0.6348,0.928462,0.872381,-1.14629
ABHD14B,0.301766,0.935545,1.24852,1.24852,0.925178,0.98437,1.02013,1.02013
ABHD15,0.731881,0.972199,1.13231,1.13231,0.684751,0.938411,0.867441,-1.15282
ABHD16A,0.522006,0.946426,1.14426,1.14426,0.330992,0.813819,0.837066,-1.19465
ABHD17A,0.593352,0.952807,0.840114,-1.19032,0.96968,0.994236,0.985936,-1.01426
ABHD17B,0.299319,0.935545,1.28961,1.28961,0.956976,0.990776,1.01387,1.01387
ABHD18,0.0862556,0.935545,0.727245,-1.37505,0.0438117,0.444014,0.632327,-1.58146
ABHD2,0.645703,0.961417,0.923513,-1.08282,0.86797,0.974157,1.03302,1.03302
ABHD3,0.320408,0.935545,0.859334,-1.16369,0.348998,0.821109,0.848289,-1.17884
ABHD4,0.691506,0.967761,1.06276,1.06276,0.110348,0.582646,1.32529,1.32529
ABHD5,0.951048,0.995305,0.990795,-1.00929,0.275167,0.76803,0.81418,-1.22823
ABI1,0.935111,0.993928,1.01377,1.01377,0.654085,0.930566,1.08786,1.08786
ABI2,0.538317,0.949347,1.15188,1.15188,0.739237,0.953372,1.08554,1.08554
ABI3,0.820615,0.982105,0.939354,-1.06456,0.767845,0.959108,0.915501,-1.0923
ABITRAM,0.149504,0.935545,0.783501,-1.27632,0.747063,0.955464,0.933724,-1.07098
ABL1,0.782523,0.979908,1.08591,1.08591,0.223497,0.720733,0.709594,-1.40926
ABL2,0.0497764,0.935545,1.59546,1.59546,0.0503478,0.461349,1.68182,1.68182
ABLIM1,0.499923,0.944434,0.824082,-1.21347,0.192569,0.691605,0.676102,-1.47907
ABLIM3,0.0932384,0.935545,1.60297,1.60297,0.0051793,0.241429,3.23283,3.23283
ABR,0.684037,0.966741,1.07831,1.07831,0.860613,0.974036,0.966848,-1.03429
ABRACL,0.878815,0.992315,0.959368,-1.04235,0.961597,0.991636,0.985838,-1.01437
ABRAXAS2,0.508651,0.945789,0.859534,-1.16342,0.827888,0.96996,0.946368,-1.05667
ABT1,0.930621,0.993599,1.01494,1.01494,0.563715,0.911813,0.897913,-1.11369
ABTB1,0.370873,0.93951,0.838441,-1.19269,0.234196,0.735251,0.790685,-1.26473
ACAA1,0.684869,0.96688,0.935202,-1.06929,0.737875,0.95277,1.06816,1.06816
ACAA2,0.373703,0.93951,1.21852,1.21852,0.413211,0.860405,1.22902,1.22902
ACACA,0.720099,0.970579,1.10264,1.10264,0.363063,0.829609,0.782944,-1.27723
ACAD10,0.96163,0.995984,1.01431,1.01431,0.702183,0.943162,0.895849,-1.11626
ACAD8,0.99501,0.999452,1.00136,1.00136,0.601742,0.920514,0.887707,-1.1265
ACAD9,0.566498,0.951031,1.20164,1.20164,0.967788,0.993588,0.987488,-1.01267
ACADM,0.290084,0.935545,0.667634,-1.49783,0.443111,0.871749,0.724387,-1.38048
ACADS,0.389423,0.940011,1.46257,1.46257,0.267721,0.762328,1.71171,1.71171
ACADSB,0.340168,0.93951,0.759641,-1.31641,0.397899,0.852775,0.768637,-1.301
ACADVL,0.197255,0.935545,1.37335,1.37335,0.676844,0.935437,1.11065,1.11065
ACAP1,0.704393,0.968377,1.07547,1.07547,0.694445,0.940167,0.928986,-1.07644
ACAP2,0.89096,0.992315,1.02576,1.02576,0.98471,0.996969,1.00382,1.00382
ACAT1,0.764764,0.97614,1.07139,1.07139,0.517806,0.895937,0.860678,-1.16187
ACAT2,0.388767,0.939845,1.2585,1.2585,0.590072,0.916522,0.882166,-1.13357
ACBD3,0.502809,0.944434,1.16595,1.16595,0.916575,0.983973,1.02617,1.02617
ACBD5,0.666583,0.966668,0.876743,-1.14059,0.978584,0.996969,1.00905,1.00905
ACBD6,0.73581,0.972199,0.932896,-1.07193,0.321737,0.805192,0.810251,-1.23419
ACCS,0.0979351,0.935545,0.537785,-1.85948,0.827316,0.96996,1.12671,1.12671
ACD,0.556967,0.95025,1.12642,1.12642,0.37973,0.841529,0.831419,-1.20276
ACER3,0.0120932,0.935545,1.8362,1.8362,0.0905918,0.554388,1.50955,1.50955
ACIN1,0.903341,0.992315,0.982931,-1.01737,0.193636,0.693694,0.81937,-1.22045
ACLY,0.482715,0.94373,1.19285,1.19285,0.693664,0.940013,1.1129,1.1129
ACO1,0.718106,0.970466,1.13813,1.13813,0.699571,0.942639,0.869259,-1.15041
ACO2,0.127948,0.935545,1.46794,1.46794,0.34622,0.818963,1.24602,1.24602
ACOT1,0.688581,0.967472,1.16034,1.16034,0.649303,0.929455,1.21129,1.21129
ACOT13,0.528192,0.947353,1.14931,1.14931,0.159644,0.654036,1.42483,1.42483
ACOT2,0.797693,0.980639,1.08942,1.08942,0.823271,0.96996,0.925353,-1.08067
ACOT7,0.000229175,0.935545,2.74501,2.74501,0.000706937,0.158379,2.48118,2.48118
ACOT8,0.566475,0.951031,1.13224,1.13224,0.950321,0.990157,0.986742,-1.01344
ACOT9,0.605782,0.956827,0.876846,-1.14045,0.616586,0.92554,1.16411,1.16411
ACOX1,0.342432,0.93951,1.19289,1.19289,0.620515,0.926675,1.0948,1.0948
ACP1,0.924257,0.992315,0.983325,-1.01696,0.0589027,0.48848,0.683236,-1.46362
ACP2,0.350196,0.93951,1.41051,1.41051,0.161571,0.656271,1.83488,1.83488
ACP3,0.167293,0.935545,0.707438,-1.41355,0.44749,0.872892,0.815263,-1.2266
ACP6,0.566334,0.951031,1.18182,1.18182,0.113284,0.58864,0.656053,-1.52427
ACRBP,0.213165,0.935545,1.66649,1.66649,0.102478,0.567833,2.12629,2.12629
ACSF3,0.980991,0.998884,1.00417,1.00417,0.533483,0.899302,0.892685,-1.12022
ACSL1,0.933277,0.99361,1.02194,1.02194,0.342982,0.817453,1.33235,1.33235
ACSL3,0.492367,0.94373,0.851799,-1.17399,0.66906,0.932659,1.12848,1.12848
ACSL4,0.394139,0.940011,0.857259,-1.16651,0.920933,0.984029,0.978646,-1.02182
ACSL5,0.585392,0.951856,0.903115,-1.10728,0.555583,0.909888,0.882914,-1.13261
ACSM3,0.0624215,0.935545,0.50591,-1.97664,0.00270034,0.215342,0.313766,-3.18709
ACSS1,0.235432,0.935545,1.35271,1.35271,0.798337,0.968346,0.938421,-1.06562
ACSS2,0.196872,0.935545,1.27293,1.27293,0.239714,0.740557,1.26351,1.26351
ACTA2,0.899364,0.992315,1.03999,1.03999,0.307327,0.794852,1.47193,1.47193
ACTB,0.488554,0.94373,1.12317,1.12317,0.193191,0.692702,1.26465,1.26465
ACTBP11,0.66933,0.966741,1.10054,1.10054,0.92687,0.984409,1.02047,1.02047
ACTBP2,0.825478,0.982154,1.04765,1.04765,0.946286,0.989446,0.985729,-1.01448
ACTBP7,0.510204,0.945857,1.14918,1.14918,0.388599,0.846904,1.25466,1.25466
ACTG1,0.462209,0.94373,1.13778,1.13778,0.109559,0.581161,1.38367,1.38367
ACTL6A,0.529228,0.947353,0.845672,-1.18249,0.102095,0.566992,0.635838,-1.57273
ACTN1,0.431372,0.94373,1.13791,1.13791,0.0985948,0.566037,1.36315,1.36315
ACTN4,0.159028,0.935545,1.31075,1.31075,0.277227,0.769367,1.23377,1.23377
ACTR10,0.445913,0.94373,0.853243,-1.172,0.129959,0.615512,0.722109,-1.38483
ACTR1A,0.232287,0.935545,1.22015,1.22015,0.373223,0.839227,1.16285,1.16285
ACTR1B,0.696499,0.967761,0.902426,-1.10812,0.323082,0.806521,0.717178,-1.39435
ACTR2,0.507972,0.945789,1.10266,1.10266,0.418034,0.862158,1.14035,1.14035
ACTR3,0.984989,0.999452,1.00285,1.00285,0.985566,0.996969,1.00306,1.00306
ACTR3B,0.390487,0.940011,1.41791,1.41791,0.170071,0.668855,1.96317,1.96317
ACTR3C,0.686439,0.967391,0.838796,-1.19218,0.27992,0.773196,0.635353,-1.57393
ACTR5,0.82025,0.982105,0.936304,-1.06803,0.760819,0.957504,0.904797,-1.10522
ACTR6,0.233752,0.935545,0.318267,-3.14202,0.448848,0.872892,0.423835,-2.35941
ACTR8,0.739652,0.972199,1.0865,1.0865,0.596453,0.920123,0.857617,-1.16602
ACVR1,0.562113,0.951031,1.15417,1.15417,0.107624,0.577309,1.65718,1.65718
ACVR1B,0.0495792,0.935545,1.68041,1.68041,0.161252,0.655977,1.41951,1.41951
ACVR2A,0.512674,0.945857,0.805835,-1.24095,0.217411,0.715705,0.639712,-1.5632
ACYP1,0.345772,0.93951,0.61496,-1.62612,0.2858,0.778758,0.580202,-1.72354
ACYP2,0.787508,0.979908,1.06603,1.06603,0.303407,0.793009,0.793224,-1.26068
ADA,0.388072,0.93951,1.30126,1.30126,0.333886,0.814804,1.3889,1.3889
ADA2,0.699215,0.968264,1.11498,1.11498,0.513634,0.894728,1.22488,1.22488
ADAL,0.911259,0.992315,1.05796,1.05796,0.357614,0.824406,0.673002,-1.48588
ADAM10,0.947516,0.99512,0.988052,-1.01209,0.487567,0.883618,1.16152,1.16152
ADAM15,0.0639033,0.935545,1.65829,1.65829,0.0973892,0.566037,1.57237,1.57237
ADAM17,0.938333,0.994755,0.980253,-1.02014,0.886255,0.97796,1.0423,1.0423
ADAM19,0.0279653,0.935545,1.61966,1.61966,0.100478,0.566992,1.40461,1.40461
ADAM28,0.0525042,0.935545,0.594437,-1.68226,0.00381313,0.228628,0.430277,-2.32409
ADAM8,0.546068,0.94965,0.883129,-1.13234,0.981364,0.996969,1.00556,1.00556
ADAM9,0.0246255,0.935545,1.60118,1.60118,0.00560597,0.246364,1.96463,1.96463
ADAMTSL4,0.409341,0.941435,1.23001,1.23001,0.94791,0.989745,1.01528,1.01528
ADAMTSL4-AS1,0.209878,0.935545,1.80661,1.80661,0.445163,0.871749,1.37206,1.37206
ADAMTSL4-AS2,0.45363,0.94373,1.40134,1.40134,0.454968,0.873537,1.40386,1.40386
ADAP1,0.227119,0.935545,1.19448,1.19448,0.405097,0.858625,1.1371,1.1371
ADAP2,0.0871091,0.935545,1.50197,1.50197,0.0219754,0.363702,1.90101,1.90101
ADAR,0.641063,0.959345,1.11782,1.11782,0.357411,0.824406,1.27391,1.27391
ADARB1,0.379805,0.93951,1.30501,1.30501,0.878845,0.976215,0.957678,-1.04419
ADAT1,0.801735,0.981624,1.07448,1.07448,0.435622,0.86958,0.809799,-1.23487
ADAT2,0.0655256,0.935545,0.535633,-1.86695,0.141087,0.626398,0.56461,-1.77114
ADCK5,0.656779,0.96435,0.880167,-1.13615,0.596752,0.920123,0.844737,-1.1838
ADCY10P1,0.795401,0.980479,1.06608,1.06608,0.626348,0.92708,0.892872,-1.11998
ADCY3,0.066651,0.935545,2.44952,2.44952,0.192998,0.692634,1.71771,1.71771
ADCY4,0.784624,0.979908,0.914297,-1.09374,0.77478,0.961322,0.909075,-1.10002
ADCY7,0.809935,0.982105,0.934294,-1.07033,0.155586,0.646384,0.670992,-1.49033
ADD1,0.774249,0.978754,1.05354,1.05354,0.775959,0.961333,0.949014,-1.05372
ADD3,0.890087,0.992315,0.973203,-1.02753,0.563707,0.911813,0.880569,-1.13563
ADGRE1,0.0822523,0.935545,1.50359,1.50359,0.479384,0.88107,0.866124,-1.15457
ADGRE2,0.418499,0.943474,1.16322,1.16322,0.0451966,0.448322,1.56057,1.56057
ADGRE3,0.561974,0.951031,0.882875,-1.13266,0.0276103,0.39445,0.633258,-1.57913
ADGRE5,0.945917,0.995045,1.01226,1.01226,0.749882,0.955464,0.945312,-1.05785
ADGRG1,0.408443,0.941435,0.665099,-1.50354,0.698558,0.942054,0.80402,-1.24375
ADGRG3,0.539081,0.949347,1.20568,1.20568,0.628801,0.927231,1.16331,1.16331
ADGRG5,0.658927,0.96435,1.19392,1.19392,0.393993,0.850363,0.736768,-1.35728
ADGRV1,0.985271,0.999452,1.01577,1.01577,0.81364,0.969029,0.832067,-1.20183
ADH5,0.345644,0.93951,0.683083,-1.46395,0.309397,0.795898,0.661499,-1.51172
ADHFE1,0.0314897,0.935545,0.473263,-2.11299,0.00228754,0.214067,0.334236,-2.9919
ADI1,0.467925,0.94373,1.13516,1.13516,0.375622,0.840053,1.18652,1.18652
ADIPOR1,0.152016,0.935545,0.513479,-1.9475,0.087518,0.549416,0.459694,-2.17536
ADIPOR2,0.703132,0.968377,1.07767,1.07767,0.132849,0.617108,1.45399,1.45399
ADK,0.933121,0.99361,0.984243,-1.01601,0.0279844,0.39445,0.632457,-1.58114
ADM,0.649653,0.963217,0.868538,-1.15136,0.489467,0.884344,1.3207,1.3207
ADNP,0.567727,0.951046,1.12021,1.12021,0.41098,0.859829,0.839817,-1.19074
ADO,0.775985,0.979087,0.878958,-1.13771,0.909977,0.983059,1.05994,1.05994
ADPGK,0.716238,0.970207,0.943247,-1.06017,0.300956,0.790939,0.848196,-1.17897
ADPRM,0.156185,0.935545,0.616554,-1.62192,0.0307716,0.410821,0.462516,-2.16209
ADPRS,0.596646,0.953433,0.907729,-1.10165,0.755482,0.956569,0.940613,-1.06314
ADRB2,0.422994,0.94373,0.76611,-1.3053,0.242496,0.74147,0.676343,-1.47854
ADRM1,0.777415,0.979398,1.05443,1.05443,0.725777,0.950578,1.07114,1.07114
ADSL,0.0737146,0.935545,1.89678,1.89678,0.838793,0.96996,0.943208,-1.06021
ADSS2,0.996798,0.999452,1.00117,1.00117,0.756418,0.957076,1.10228,1.10228
AEBP2,0.977773,0.998209,1.01359,1.01359,0.730441,0.950846,1.20617,1.20617
AEN,0.221193,0.935545,1.52327,1.52327,0.535617,0.899855,1.22566,1.22566
AFF1,0.636413,0.959345,1.09341,1.09341,0.456291,0.873917,0.870149,-1.14923
AFF3,0.347638,0.93951,1.43292,1.43292,0.161446,0.656071,0.640921,-1.56026
AFF4,0.750166,0.973642,1.06589,1.06589,0.191535,0.689869,0.776012,-1.28864
AFG3L1P,0.210569,0.935545,0.699455,-1.42968,0.0241025,0.375437,0.547991,-1.82485
AFG3L2,0.953587,0.995305,1.01524,1.01524,0.945328,0.989446,0.976653,-1.02391
AFMID,0.427852,0.94373,1.48669,1.48669,0.402257,0.857478,1.54286,1.54286
AFTPH,0.242654,0.935545,1.21486,1.21486,0.499081,0.887235,1.13504,1.13504
AGA,0.761818,0.975957,0.908491,-1.10073,0.216423,0.715514,0.662749,-1.50887
AGAP10P,0.405193,0.941435,0.701559,-1.4254,0.203444,0.702821,0.59322,-1.68571
AGAP14P,0.0998462,0.935545,0.529592,-1.88825,0.241211,0.740754,0.602787,-1.65896
AGAP2,0.160518,0.935545,1.36064,1.36064,0.153412,0.641292,1.39165,1.39165
AGAP3,0.348065,0.93951,1.32938,1.32938,0.24514,0.74329,1.49416,1.49416
AGAP4,0.0948276,0.935545,0.648088,-1.543,0.000265027,0.120623,0.354473,-2.82109
AGAP7P,0.0408322,0.935545,0.572296,-1.74735,0.0111671,0.300368,0.499951,-2.00019
AGBL3,0.0238502,0.935545,0.288103,-3.47098,0.0198035,0.34645,0.267732,-3.73507
AGBL5,0.597195,0.953855,1.15271,1.15271,0.725081,0.950578,1.10204,1.10204
AGER,0.0922496,0.935545,1.41043,1.41043,0.731131,0.951373,1.07015,1.07015
AGFG1,0.152849,0.935545,1.43465,1.43465,0.052697,0.470281,1.7534,1.7534
AGGF1,0.961866,0.995984,1.01186,1.01186,0.937456,0.986596,0.980025,-1.02038
AGK,0.536501,0.9493,0.855377,-1.16908,0.0973613,0.566037,0.645746,-1.5486
AGL,0.477505,0.94373,0.784998,-1.27389,0.543107,0.902314,0.795547,-1.257
AGO1,0.343431,0.93951,1.22437,1.22437,0.343945,0.818024,1.23652,1.23652
AGO2,0.422676,0.94373,1.15476,1.15476,0.122408,0.604078,0.775729,-1.28911
AGO3,0.517648,0.946365,0.878654,-1.1381,0.0553797,0.48246,0.678731,-1.47334
AGO4,0.909085,0.992315,1.01819,1.01819,0.565925,0.911813,1.10433,1.10433
AGPAT1,0.224085,0.935545,1.29801,1.29801,0.0566698,0.486408,1.60395,1.60395
AGPAT2,0.165937,0.935545,1.31712,1.31712,0.0266767,0.392493,1.73497,1.73497
AGPAT3,0.138128,0.935545,1.30348,1.30348,0.291336,0.784179,1.21039,1.21039
AGPAT5,0.983148,0.999452,1.00615,1.00615,0.467933,0.878077,0.803104,-1.24517
AGPS,0.136115,0.935545,1.52561,1.52561,0.416757,0.862158,1.24559,1.24559
AGTPBP1,0.582808,0.951457,0.912461,-1.09594,0.268283,0.762829,0.813988,-1.22852
AGTRAP,0.753113,0.973642,1.05804,1.05804,0.0784538,0.527122,1.46406,1.46406
AHCTF1,0.280822,0.935545,1.23575,1.23575,0.915039,0.983924,1.02125,1.02125
AHCTF1P1,0.142144,0.935545,1.69173,1.69173,0.117869,0.598823,1.78571,1.78571
AHCY,0.174751,0.935545,1.4338,1.4338,0.336684,0.814804,1.28714,1.28714
AHCYL1,0.0634438,0.935545,1.34103,1.34103,0.547992,0.90501,1.10368,1.10368
AHCYL2,0.736808,0.972199,1.08644,1.08644,0.320341,0.805192,0.779384,-1.28306
AHI1,0.996483,0.999452,0.99853,-1.00147,0.515697,0.894728,0.785776,-1.27263
AHNAK,0.448303,0.94373,1.22187,1.22187,0.818321,0.969353,1.06296,1.06296
AHR,0.918804,0.992315,0.950476,-1.0521,0.670767,0.932743,1.28636,1.28636
AHSA1,0.431218,0.94373,1.21817,1.21817,0.966595,0.993076,0.989768,-1.01034
AHSA2P,0.0877026,0.935545,0.577193,-1.73252,0.00513833,0.241429,0.429551,-2.32801
AHSP,0.321443,0.935545,0.307528,-3.25173,0.340126,0.816427,0.311462,-3.21067
AIDA,0.69858,0.967761,0.922693,-1.08378,0.108908,0.580078,0.711603,-1.40528
AIF1,0.240503,0.935545,0.528832,-1.89096,0.460758,0.875554,0.641379,-1.55914
AIFM1,0.0772428,0.935545,1.54709,1.54709,0.104168,0.572782,1.55453,1.55453
AIG1,0.499162,0.944434,1.18364,1.18364,0.144959,0.631048,1.55803,1.55803
AIM2,0.609083,0.956827,1.25084,1.25084,0.328879,0.8115,1.63759,1.63759
AIMP1,0.285817,0.935545,0.566383,-1.76559,0.439622,0.871152,0.642487,-1.55645
AIMP2,0.585096,0.951784,1.20677,1.20677,0.984726,0.996969,1.00647,1.00647
AIP,0.316663,0.935545,1.23119,1.23119,0.919326,0.983973,1.0209,1.0209
AK2,0.0536163,0.935545,1.42122,1.42122,0.51646,0.894728,1.13116,1.13116
AK3,0.263876,0.935545,0.77837,-1.28474,0.899777,0.979716,0.967299,-1.03381
AK6,0.345507,0.93951,0.268501,-3.72438,0.799394,0.968346,0.578916,-1.72737
AK9,0.711323,0.968864,0.916561,-1.09103,0.145904,0.633245,0.693043,-1.44291
AKAP10,0.149709,0.935545,0.760755,-1.31448,0.0915254,0.554995,0.694071,-1.44077
AKAP11,0.716959,0.970254,0.858551,-1.16475,0.72056,0.949021,0.85434,-1.17049
AKAP13,0.467231,0.94373,1.1434,1.1434,0.532733,0.898674,1.12448,1.12448
AKAP7,0.0617069,0.935545,0.332031,-3.01177,0.273819,0.766848,0.455535,-2.19522
AKAP8,0.779052,0.979908,0.937628,-1.06652,0.659318,0.931372,0.899846,-1.1113
AKAP8L,0.92299,0.992315,1.02011,1.02011,0.430142,0.867334,0.834461,-1.19838
AKAP9,0.614296,0.957212,0.916289,-1.09136,0.325961,0.807684,0.830527,-1.20405
AKIP1,0.302616,0.935545,1.26426,1.26426,0.949795,0.990073,1.01479,1.01479
AKIRIN1,0.829315,0.983645,1.0432,1.0432,0.562299,0.911813,1.14693,1.14693
AKIRIN2,0.93411,0.993928,0.984385,-1.01586,0.104687,0.573684,1.48915,1.48915
AKNA,0.825191,0.982154,0.967395,-1.0337,0.725982,0.950578,0.946715,-1.05628
AKR1A1,0.151924,0.935545,1.27859,1.27859,0.522485,0.897572,1.11661,1.11661
AKR1B1,0.547439,0.94965,1.17314,1.17314,0.75626,0.957076,0.92215,-1.08442
AKR7A2,0.648286,0.963114,0.892291,-1.12071,0.8523,0.973229,0.950326,-1.05227
AKT1,0.526144,0.946813,0.870909,-1.14823,0.101634,0.566992,0.704124,-1.4202
AKT1S1,0.207548,0.935545,0.632813,-1.58025,0.515899,0.894728,0.763636,-1.30952
AKT2,0.745501,0.972853,1.0852,1.0852,0.513975,0.894728,0.856244,-1.16789
AKT3,0.505444,0.945789,1.22105,1.22105,0.471109,0.87981,0.817271,-1.22358
AKTIP,0.413655,0.941894,0.838598,-1.19247,0.921978,0.98437,0.975827,-1.02477
ALAD,0.161237,0.935545,1.30904,1.30904,0.738509,0.952925,1.06105,1.06105
ALAS1,0.906866,0.992315,1.02583,1.02583,0.262349,0.75939,1.34779,1.34779
ALAS2,0.551429,0.94965,1.35084,1.35084,0.318351,0.803915,0.594436,-1.68227
ALCAM,0.787085,0.979908,0.93719,-1.06702,0.575219,0.913362,0.868966,-1.15079
ALDH16A1,0.276637,0.935545,1.57573,1.57573,0.740237,0.953925,1.16274,1.16274
ALDH18A1,0.34073,0.93951,1.34235,1.34235,0.839996,0.96996,1.06536,1.06536
ALDH1A1,0.157983,0.935545,0.575568,-1.73741,0.191051,0.689782,0.571312,-1.75036
ALDH1A2,0.0653504,0.935545,1.93234,1.93234,0.0581034,0.487215,1.99408,1.99408
ALDH2,0.424234,0.94373,1.23297,1.23297,0.538414,0.901183,1.18075,1.18075
ALDH3A2,0.868189,0.991015,0.953827,-1.04841,0.938877,0.987102,1.02481,1.02481
ALDH3B1,0.520715,0.946365,1.12822,1.12822,0.310295,0.796761,1.23451,1.23451
ALDH5A1,0.754275,0.973644,0.875627,-1.14204,0.309227,0.795898,0.675487,-1.48041
ALDH6A1,0.805983,0.982077,1.06783,1.06783,0.925613,0.98437,0.971311,-1.02954
ALDH9A1,0.536511,0.9493,1.12678,1.12678,0.667569,0.932287,1.09429,1.09429
ALDOA,0.663901,0.966553,1.09504,1.09504,0.5651,0.911813,1.13314,1.13314
ALDOC,0.444667,0.94373,0.769427,-1.29967,0.337236,0.814804,0.710788,-1.40689
ALG1,0.517261,0.946365,1.22534,1.22534,0.47766,0.88107,1.26472,1.26472
ALG12,0.381629,0.93951,0.827466,-1.20851,0.0339711,0.412306,0.639243,-1.56435
ALG13,0.0153079,0.935545,0.507157,-1.97178,0.00292806,0.215342,0.411104,-2.43248
ALG14,0.770856,0.976962,0.880851,-1.13527,0.629292,0.927231,1.29699,1.29699
ALG2,0.216725,0.935545,1.37577,1.37577,0.260449,0.757809,1.36009,1.36009
ALG3,0.101561,0.935545,1.50428,1.50428,0.0897037,0.5531,1.55952,1.55952
ALG5,0.988163,0.999452,0.99487,-1.00516,0.926984,0.984409,0.967091,-1.03403
ALG6,0.13328,0.935545,0.680465,-1.46958,0.423021,0.86443,0.78255,-1.27787
ALG8,0.277044,0.935545,0.707615,-1.4132,0.58286,0.914465,0.821701,-1.21699
ALKBH3,0.605858,0.956827,1.10278,1.10278,0.710169,0.945571,0.915693,-1.09207
ALKBH4,0.886523,0.992315,1.03692,1.03692,0.520271,0.896906,0.851888,-1.17386
ALKBH5,0.224254,0.935545,1.27757,1.27757,0.216981,0.715705,1.32027,1.32027
ALKBH7,0.590009,0.952807,0.861609,-1.16062,0.540834,0.902314,0.838705,-1.19231
ALMS1,0.486785,0.94373,0.814804,-1.22729,0.490713,0.885317,0.79303,-1.26099
ALOX12,0.0518389,0.935545,1.73504,1.73504,0.0128572,0.307614,2.29609,2.29609
ALOX12-AS1,0.879448,0.992315,0.964688,-1.0366,0.00372056,0.22648,0.559494,-1.78733
ALOX5,0.267318,0.935545,1.20733,1.20733,0.282684,0.776654,1.20494,1.20494
ALOX5AP,0.994947,0.999452,1.00235,1.00235,0.306139,0.794344,1.62815,1.62815
