Probeset ID,pval_severe_vs_mild,adj_pval_severe_vs_mild,ratio_severe_vs_mild,FC_severe_vs_mild,pval_severe_vs_healthy,adj_pval_severe_vs_healthy,ratio_severe_vs_healthy,FC_severe_vs_healthy
PTCD2,0.29285,0.935545,0.719786,-1.3893,0.0885727,0.551555,0.588706,-1.69864
PTCD3,0.918275,0.992315,0.978504,-1.02197,0.0413183,0.434348,0.631902,-1.58252
PTCRA,0.109939,0.935545,2.31704,2.31704,0.116265,0.59731,2.29874,2.29874
PTDSS1,0.995193,0.999452,0.998673,-1.00133,0.800069,0.968346,0.940305,-1.06348
PTEN,0.849637,0.984502,0.965102,-1.03616,0.570656,0.91316,1.13407,1.13407
PTENP1,0.35793,0.93951,0.663763,-1.50656,0.728819,0.950578,1.25123,1.25123
PTER,0.133518,0.935545,0.711059,-1.40635,0.212135,0.711118,0.700211,-1.42814
PTGDR,0.126031,0.935545,0.592196,-1.68863,0.00197808,0.19923,0.338024,-2.95837
PTGDR2,0.00366759,0.935545,0.196191,-5.09707,0.00563442,0.246364,0.15016,-6.65955
PTGER2,0.80458,0.982077,0.943291,-1.06012,0.713779,0.946534,1.10699,1.10699
PTGER4,0.0157264,0.935545,0.525078,-1.90448,0.125577,0.612084,0.629542,-1.58846
PTGES2,0.555206,0.95025,0.847224,-1.18033,0.678343,0.935958,1.15176,1.15176
PTGES3,0.92851,0.993549,0.981315,-1.01904,0.657295,0.931372,1.11565,1.11565
PTGES3P1,0.421836,0.94373,0.802835,-1.24559,0.33428,0.814804,0.746691,-1.33924
PTGIR,0.143709,0.935545,1.4768,1.4768,0.0192199,0.345495,2.19767,2.19767
PTGS1,0.0750335,0.935545,1.64008,1.64008,0.0526736,0.470281,1.77285,1.77285
PTGS2,0.253515,0.935545,0.702132,-1.42423,0.349807,0.822105,0.735792,-1.35908
PTK2,0.100688,0.935545,1.51164,1.51164,0.0280051,0.39445,1.87895,1.87895
PTK2B,0.984361,0.999452,1.0032,1.0032,0.42946,0.867264,0.884825,-1.13017
PTMA,0.343816,0.93951,1.18847,1.18847,0.98437,0.996969,1.00365,1.00365
PTMAP2,0.749954,0.973642,0.930233,-1.075,0.986784,0.997442,0.995851,-1.00417
PTMAP5,0.288464,0.935545,1.26816,1.26816,0.792222,0.96621,1.05861,1.05861
PTOV1,0.143327,0.935545,0.791597,-1.26327,0.00911404,0.283876,0.642346,-1.55679
PTP4A2,0.193351,0.935545,1.20868,1.20868,0.606189,0.921481,1.09233,1.09233
PTP4A2P2,0.527053,0.946813,0.834784,-1.19791,0.302343,0.792504,1.50228,1.50228
PTP4A3,0.127831,0.935545,1.5514,1.5514,0.0518729,0.467089,1.8579,1.8579
PTPA,0.212292,0.935545,1.38859,1.38859,0.414224,0.86081,1.23751,1.23751
PTPMT1,0.604017,0.956827,1.13736,1.13736,0.327531,0.809553,0.78187,-1.27899
PTPN1,0.126685,0.935545,1.34973,1.34973,0.181789,0.681671,1.29805,1.29805
PTPN11,0.667952,0.966741,1.10657,1.10657,0.926994,0.984409,0.976084,-1.0245
PTPN12,0.409827,0.941435,1.20431,1.20431,0.0805942,0.532315,1.61754,1.61754
PTPN18,0.48435,0.94373,1.13232,1.13232,0.0807957,0.532315,1.46598,1.46598
PTPN2,0.708459,0.968377,1.07089,1.07089,0.575724,0.913424,0.895612,-1.11656
PTPN22,0.0760952,0.935545,0.506939,-1.97262,0.117163,0.598348,0.504916,-1.98053
PTPN23,0.0580306,0.935545,1.45551,1.45551,0.792229,0.96621,1.05489,1.05489
PTPN4,0.143997,0.935545,0.569058,-1.75729,0.0352469,0.418538,0.454751,-2.19901
PTPN6,0.95485,0.995335,0.990364,-1.00973,0.678088,0.935958,1.07872,1.07872
PTPN7,0.850613,0.984502,1.05343,1.05343,0.823974,0.96996,0.939377,-1.06454
PTPN9,0.00608389,0.935545,2.12426,2.12426,0.0153045,0.326546,1.87654,1.87654
PTPRA,0.286992,0.935545,1.2198,1.2198,0.261705,0.758671,1.25932,1.25932
PTPRC,0.378266,0.93951,0.839122,-1.19172,0.0478928,0.452834,0.656862,-1.52239
PTPRE,0.523672,0.946813,0.89358,-1.11909,0.918154,0.983973,1.01977,1.01977
PTPRJ,0.164582,0.935545,1.26961,1.26961,0.35514,0.823179,1.17422,1.17422
PTPRJ-AS1,0.164292,0.935545,1.5,1.5,0.726315,0.950578,0.918121,-1.08918
PTPRN2,0.93507,0.993928,0.976898,-1.02365,0.393256,0.850285,1.34447,1.34447
PTRH2,0.137816,0.935545,0.674763,-1.482,0.184331,0.68461,0.675102,-1.48126
PTRHD1,0.252684,0.935545,0.605409,-1.65178,0.716113,0.947347,0.821164,-1.21778
PTS,0.220546,0.935545,0.357143,-2.8,0.417873,0.862158,0.457875,-2.184
PTTG1,0.385857,0.93951,1.51202,1.51202,0.28304,0.776799,1.76889,1.76889
PTTG1IP,0.830722,0.983723,0.970958,-1.02991,0.776752,0.961333,1.04178,1.04178
PUDP,0.144201,0.935545,1.56128,1.56128,0.211986,0.711118,1.48012,1.48012
PUF60,0.399289,0.941435,1.21813,1.21813,0.903102,0.980266,1.02876,1.02876
PUM1,0.230633,0.935545,1.31188,1.31188,0.760526,0.957504,1.06938,1.06938
PUM2,0.426181,0.94373,1.17005,1.17005,0.5309,0.898562,0.881603,-1.1343
PUM3,0.932311,0.99361,0.972453,-1.02833,0.218997,0.716189,0.676414,-1.47839
PURA,0.841973,0.984474,1.10527,1.10527,0.894661,0.978604,0.938422,-1.06562
PUS1,0.652294,0.963217,0.857143,-1.16667,0.190772,0.689782,0.655695,-1.5251
PUS10,0.439865,0.94373,0.823476,-1.21437,0.332645,0.81447,0.763923,-1.30903
PUS3,0.172027,0.935545,1.44056,1.44056,0.9177,0.983973,1.02566,1.02566
PUS7L,0.64523,0.961417,0.882574,-1.13305,0.37255,0.838467,0.77878,-1.28406
PUSL1,0.125447,0.935545,1.40137,1.40137,0.417119,0.862158,1.20072,1.20072
PVT1,0.33041,0.935632,0.740241,-1.35091,0.220605,0.717882,0.681766,-1.46678
PWP1,0.481822,0.94373,0.860594,-1.16199,0.103518,0.571405,0.674571,-1.48242
PWWP2A,0.804909,0.982077,1.06178,1.06178,0.786366,0.964857,1.07828,1.07828
PWWP2B,0.631545,0.959345,0.872497,-1.14614,0.785391,0.964546,0.915423,-1.09239
PWWP3A,0.954326,0.995335,1.01524,1.01524,0.0982337,0.566037,0.664048,-1.50591
