Probeset ID,pval_severe_vs_mild,adj_pval_severe_vs_mild,ratio_severe_vs_mild,FC_severe_vs_mild
A1BG,0.000347871,0.00836533,0.426852,-2.34273
A1BG-AS1,0.130733,0.27162,0.880742,-1.13541
A1CF,0.796025,0.87355,1.09836,1.09836
A2M,0.7622,0.850217,0.936337,-1.06799
A2M-AS1,0.422741,0.581024,1.1976,1.1976
A2ML1,0.120693,0.257931,1.44501,1.44501
A2ML1-AS1,0.370078,0.531363,1.29374,1.29374
A2ML1-AS2,0.594178,0.726181,1.17684,1.17684
A3GALT2,0.0558634,0.156423,1.18147,1.18147
A4GALT,0.129896,0.270573,0.652544,-1.53246
A4GNT,0.64282,0.762956,1.05061,1.05061
AA06,0.024736,0.0935432,1.52779,1.52779
AA174084,0.570271,0.706436,1.09151,1.09151
AAAS,0.000163717,0.00535654,0.253128,-3.95057
AACS,0.00501401,0.0368263,1.70945,1.70945
AADAC,0.000358448,0.0084921,0.677411,-1.47621
AADACL2,0.0732175,0.186484,1.65228,1.65228
AADACL2-AS1,0.0103939,0.0548539,0.789932,-1.26593
AADACL3,0.219231,0.37983,1.256,1.256
AADACL4,0.46434,0.617247,1.21081,1.21081
AADACP1,0.576847,0.711891,1.14751,1.14751
AADAT,0.0427381,0.131844,0.48164,-2.07624
AAGAB,0.608504,0.736824,0.865702,-1.15513
AAK1,0.185072,0.340084,1.22103,1.22103
AAMDC,0.283609,0.448414,1.31059,1.31059
AAMP,0.130298,0.271074,0.764673,-1.30775
AANAT,0.475713,0.626937,1.26742,1.26742
AAR2,0.000818066,0.0133633,0.47282,-2.11497
AARD,0.34751,0.510413,0.930333,-1.07488
AARS,0.364875,0.526516,0.724199,-1.38084
AARS2,0.315503,0.479776,0.876105,-1.14142
AARSD1,0.0154652,0.0700568,0.394297,-2.53616
AASDH,0.149922,0.296744,0.711194,-1.40609
AASDHPPT,0.846984,0.906654,1.05047,1.05047
AASS,0.0708373,0.182799,0.537583,-1.86018
AATBC,0.603372,0.733103,0.909398,-1.09963
AATF,0.603975,0.733516,0.863953,-1.15747
AATK,0.0343504,0.115102,0.726805,-1.37589
AB015752.1,0.217781,0.378179,0.686695,-1.45625
AB447886,0.0039801,0.0333376,2.14469,2.14469
ABALON,0.125454,0.264566,2.81009,2.81009
ABAT,0.014801,0.0681219,1.67879,1.67879
ABCA1,6.68E-06,0.000893707,5.5171,5.5171
ABCA10,0.0659693,0.174586,2.18609,2.18609
ABCA12,0.186831,0.342319,1.14016,1.14016
ABCA13,0.00130445,0.0174907,2.83102,2.83102
ABCA2,0.276784,0.441406,1.29154,1.29154
ABCA3,0.00659805,0.0418555,0.552598,-1.80963
ABCA4,0.156452,0.304865,1.26853,1.26853
ABCA5,0.147657,0.293806,1.76323,1.76323
ABCA6,0.023393,0.0904795,0.628035,-1.59227
ABCA7,0.113228,0.247118,1.24943,1.24943
ABCA8,0.00670108,0.0422342,0.364866,-2.74073
ABCA9,0.390521,0.551137,0.870921,-1.14821
ABCA9-AS1,0.0941406,0.219345,0.746691,-1.33924
ABCB1,0.027133,0.0992508,0.685988,-1.45775
ABCB10,0.0862817,0.207375,0.61624,-1.62274
ABCB11,0.372875,0.533866,1.21588,1.21588
ABCB4,0.0638691,0.171142,0.550316,-1.81714
ABCB5,0.041986,0.130459,0.393922,-2.53858
ABCB6,0.565045,0.701925,1.07139,1.07139
ABCB7,0.694458,0.802134,1.16928,1.16928
ABCB8,0.00750871,0.0450656,0.357172,-2.79977
ABCB9,0.284195,0.448943,0.765325,-1.30664
ABCC1,0.00559302,0.0381237,0.577137,-1.73269
ABCC10,0.000840506,0.0135695,0.457555,-2.18553
ABCC11,0.706452,0.810971,0.946186,-1.05688
ABCC12,0.086721,0.208015,1.15941,1.15941
ABCC2,0.00646826,0.0413781,2.02008,2.02008
ABCC3,0.889658,0.934049,1.04784,1.04784
ABCC4,0.739284,0.833873,0.84956,-1.17708
ABCC5,0.0873631,0.209108,0.671074,-1.49015
ABCC5-AS1,0.441529,0.59799,1.11083,1.11083
ABCC6,0.000110952,0.00434591,2.25566,2.25566
ABCC8,0.950465,0.970372,1.01498,1.01498
ABCC9,0.144906,0.290239,1.53929,1.53929
ABCD1,0.0035023,0.0310497,0.503453,-1.98628
ABCD2,5.16E-05,0.00284083,0.433565,-2.30646
ABCD3,0.0433222,0.133026,1.74438,1.74438
ABCD4,0.00156039,0.0194665,0.436506,-2.29092
ABCE1,0.965121,0.979408,1.00659,1.00659
ABCF1,0.23734,0.399756,1.207,1.207
ABCF2,0.0916465,0.215665,0.818126,-1.22231
ABCF3,0.0123804,0.0611775,0.441258,-2.26625
ABCG1,0.255502,0.419342,1.14874,1.14874
ABCG2,0.802854,0.877735,1.07326,1.07326
ABCG4,0.126153,0.265541,1.7477,1.7477
ABCG5,0.680553,0.792587,0.86164,-1.16058
ABCG8,0.00371967,0.0321749,1.37809,1.37809
ABHD1,0.698115,0.804608,1.05573,1.05573
ABHD10,0.0178155,0.0765274,0.641094,-1.55983
ABHD11,0.22477,0.385901,1.28338,1.28338
ABHD11-AS1,0.895958,0.937649,1.03016,1.03016
ABHD12,4.89E-05,0.00275495,0.43951,-2.27526
ABHD12B,0.00185796,0.0215004,1.62117,1.62117
ABHD13,0.0365745,0.119718,1.63919,1.63919
ABHD14A,0.00600534,0.0397319,0.528057,-1.89373
ABHD14A-ACY1,0.139738,0.283371,1.19258,1.19258
ABHD14B,0.0605779,0.165237,0.35289,-2.83375
ABHD15,0.230349,0.392069,0.685816,-1.45812
ABHD15-AS1,0.328571,0.492504,1.36778,1.36778
ABHD16A,0.148223,0.294452,1.2204,1.2204
ABHD16B,0.0891764,0.211977,0.726464,-1.37653
ABHD17A,0.782349,0.864255,1.05757,1.05757
ABHD17B,0.0439877,0.134286,1.49317,1.49317
ABHD17C,0.0130347,0.0631777,1.92201,1.92201
ABHD18,0.83159,0.896706,0.949974,-1.05266
ABHD2,0.000556274,0.0107476,1.85939,1.85939
ABHD3,0.0523245,0.14999,1.85688,1.85688
ABHD4,8.81E-05,0.0038109,2.73104,2.73104
ABHD5,7.12E-06,0.000927181,3.16616,3.16616
ABHD6,0.354314,0.516732,1.41388,1.41388
ABHD8,0.902335,0.941445,1.0166,1.0166
ABI1,0.244844,0.407881,0.858796,-1.16442
ABI2,0.36467,0.526322,0.883513,-1.13185
ABI3,0.0259327,0.0965293,0.359298,-2.7832
ABI3BP,0.0378859,0.122525,0.535122,-1.86873
ABL1,0.558355,0.695871,0.892396,-1.12058
ABL2,0.143623,0.288521,1.40684,1.40684
ABLIM1,0.421583,0.579921,1.135,1.135
ABLIM2,0.155399,0.303671,0.485261,-2.06075
ABLIM3,0.555798,0.693769,1.0532,1.0532
ABO,0.0246952,0.0934743,0.43263,-2.31145
ABR,0.0130839,0.0633224,0.760162,-1.31551
ABRA,0.0274365,0.099928,0.571694,-1.74919
ABRACL,0.0566259,0.157711,0.521293,-1.91831
ABRAXAS1,0.187941,0.343582,1.443,1.443
ABRAXAS2,0.928059,0.957253,0.985136,-1.01509
ABT1,0.333283,0.496804,0.749428,-1.33435
ABTB1,2.00E-05,0.00163957,2.19276,2.19276
ABTB2,0.405039,0.565099,0.777567,-1.28606
AC000032.1,0.705188,0.809956,1.07434,1.07434
AC000035.1,0.711617,0.81496,0.880811,-1.13532
AC000036.1,0.00108508,0.0156997,0.432051,-2.31454
AC000058.1,0.0430497,0.13245,0.579878,-1.7245
AC000061.1,0.00316753,0.0292383,0.286497,-3.49043
AC000067.1,0.185332,0.340379,1.11973,1.11973
AC000068.1,0.524805,0.66869,1.27145,1.27145
AC000068.2,0.53398,0.675962,1.08234,1.08234
AC000068.3,0.986575,0.991673,0.996526,-1.00349
AC000099.1,0.338754,0.501846,1.15865,1.15865
AC000123.1,0.0556995,0.15614,0.493291,-2.0272
AC000124.1,0.169917,0.321854,1.39419,1.39419
AC000372.1,0.0799204,0.197288,0.83057,-1.20399
AC000403.1,0.00295075,0.0281357,2.83332,2.83332
AC001226.1,0.656563,0.773938,0.947734,-1.05515
AC002056.2,0.947671,0.968698,1.01267,1.01267
AC002059.1,0.299925,0.464838,1.37087,1.37087
AC002064.1,0.0379575,0.122642,0.531707,-1.88074
AC002064.2,0.112333,0.245836,1.17786,1.17786
AC002066.1,0.687069,0.797214,1.06231,1.06231
AC002070.1,0.171788,0.324343,1.16908,1.16908
AC002074.1,0.454746,0.609352,1.14365,1.14365
AC002074.2,0.159496,0.308548,1.70494,1.70494
AC002076.1,0.213948,0.373748,1.43589,1.43589
AC002091.1,2.29E-07,0.000167708,6.76446,6.76446
AC002091.2,2.06E-07,0.000165124,11.1342,11.1342
AC002094.2,0.0310507,0.108002,1.19661,1.19661
AC002094.4,0.428574,0.58622,1.2248,1.2248
AC002101.1,0.00298959,0.028296,2.10025,2.10025
AC002115.1,0.0180457,0.0770952,2.48069,2.48069
AC002116.2,0.26212,0.426424,1.31031,1.31031
AC002127.2,0.226649,0.387908,1.13467,1.13467
AC002128.1,0.767918,0.854208,0.936261,-1.06808
AC002128.2,0.264575,0.42897,1.43419,1.43419
AC002306.1,0.0409417,0.128334,0.264592,-3.77941
AC002310.1,0.249625,0.412945,0.860118,-1.16263
AC002310.2,0.602224,0.732269,0.885134,-1.12977
AC002347.1,0.447863,0.603433,0.732486,-1.36521
AC002347.2,0.163673,0.313672,0.788743,-1.26784
AC002351.1,0.284186,0.448943,0.844123,-1.18466
AC002368.1,0.105596,0.235989,1.24049,1.24049
AC002375.1,0.00118875,0.016551,0.446278,-2.24076
AC002378.1,0.0385834,0.123834,0.376077,-2.65903
AC002383.1,0.676207,0.789501,0.740391,-1.35064
AC002386.1,0.814277,0.885332,1.05333,1.05333
AC002398.1,0.890067,0.934298,0.952893,-1.04944
AC002398.2,0.0145788,0.0674968,2.66565,2.66565
AC002401.1,0.843679,0.90432,1.06522,1.06522
AC002401.2,0.75701,0.846782,1.30725,1.30725
AC002401.3,0.999893,0.999893,0.999963,-1.00004
AC002401.4,0.842869,0.903846,1.02116,1.02116
AC002407.1,0.0409166,0.128282,1.1844,1.1844
AC002428.1,0.0236336,0.0910483,0.473709,-2.111
AC002428.2,0.00353789,0.031209,0.332012,-3.01194
AC002429.2,0.160169,0.309258,1.22278,1.22278
AC002451.1,0.040241,0.12707,1.7417,1.7417
AC002454.1,0.00302507,0.0284925,0.560859,-1.78298
AC002456.1,0.0104067,0.0548916,1.49219,1.49219
AC002460.1,0.239727,0.402469,1.46197,1.46197
AC002463.1,0.782171,0.864144,0.905458,-1.10441
AC002464.1,0.672772,0.78673,1.08555,1.08555
AC002465.1,0.687707,0.797603,1.09592,1.09592
AC002467.1,0.322782,0.486856,0.934166,-1.07047
AC002470.1,0.502709,0.649958,1.17077,1.17077
AC002470.2,0.0262535,0.0972873,1.82776,1.82776
AC002472.1,0.00066,0.0118194,0.302698,-3.30362
AC002480.1,0.0481434,0.142094,0.2518,-3.97141
AC002480.2,0.0113604,0.0577899,0.626796,-1.59542
AC002511.1,0.640772,0.761401,0.850267,-1.1761
AC002546.1,0.00614069,0.0402471,0.392848,-2.54551
AC002550.1,0.0419694,0.130433,0.643619,-1.55372
AC002550.2,0.799548,0.875721,0.953405,-1.04887
AC002551.1,0.351619,0.514266,0.8493,-1.17744
AC002553.1,0.941088,0.965051,1.02655,1.02655
AC002553.2,0.211751,0.371067,1.34738,1.34738
AC002558.2,0.155324,0.303609,0.705483,-1.41747
AC002558.3,0.0672134,0.176788,0.668087,-1.49681
AC002563.1,0.0168587,0.0738547,1.96742,1.96742
AC003001.1,0.000212682,0.0062641,1.2844,1.2844
AC003002.3,0.0183067,0.0777506,1.73216,1.73216
AC003005.2,0.946453,0.967961,0.984613,-1.01563
AC003006.1,0.0236616,0.0911333,1.93332,1.93332
AC003009.1,0.125588,0.264774,1.38417,1.38417
AC003035.1,0.912045,0.946748,1.03091,1.03091
AC003035.2,2.05E-05,0.00166849,0.281889,-3.5475
AC003043.1,0.505233,0.652115,1.36543,1.36543
AC003043.2,0.0102202,0.0542076,1.8284,1.8284
AC003070.1,0.00816973,0.0474721,0.603764,-1.65628
AC003070.2,1.54E-05,0.00141422,0.332138,-3.0108
AC003084.1,0.217116,0.377414,1.27307,1.27307
AC003087.1,0.0109362,0.0566376,1.21003,1.21003
AC003092.1,0.0340735,0.114443,1.30988,1.30988
AC003092.2,0.670003,0.784458,1.20068,1.20068
AC003098.1,0.858891,0.914681,1.03031,1.03031
AC003101.1,0.666427,0.781743,1.21824,1.21824
AC003101.2,0.199341,0.356762,0.666315,-1.50079
AC003102.1,0.608692,0.736968,1.14411,1.14411
AC003659.1,0.18318,0.337771,0.772201,-1.295
AC003666.1,0.502643,0.649912,0.936207,-1.06814
AC003681.1,0.00684536,0.0427706,3.34419,3.34419
AC003682.1,0.00171355,0.0205306,1.72201,1.72201
AC003684.1,0.481441,0.631829,1.11711,1.11711
AC003685.1,0.0942414,0.219523,1.71768,1.71768
AC003687.1,0.00231692,0.0243845,2.33501,2.33501
AC003688.2,0.360977,0.522793,1.19953,1.19953
AC003950.1,0.0985936,0.225835,0.609195,-1.64151
AC003956.1,0.111469,0.244626,0.584028,-1.71225
AC003958.2,0.559417,0.696827,1.09151,1.09151
AC003965.1,0.944887,0.966978,1.02697,1.02697
AC003965.2,0.131221,0.272173,0.842724,-1.18663
AC003973.1,0.0129549,0.0629477,0.241999,-4.13224
AC003975.1,0.235017,0.39706,0.670414,-1.49162
AC003982.1,0.18394,0.338579,1.21519,1.21519
AC003984.1,0.172808,0.325364,1.11413,1.11413
AC003985.1,0.0107319,0.056001,1.21766,1.21766
AC003985.2,0.212457,0.371853,0.717622,-1.39349
AC003986.1,0.157436,0.30597,1.12563,1.12563
AC003986.2,0.135111,0.277313,1.16883,1.16883
AC003986.3,0.0740398,0.18779,1.81341,1.81341
AC003988.1,0.00105551,0.0154621,1.26541,1.26541
AC003991.1,0.665184,0.780777,0.943755,-1.0596
AC003991.2,0.640732,0.761385,0.850364,-1.17597
AC003992.1,0.87892,0.92709,0.890875,-1.12249
AC004000.1,0.115298,0.25032,0.720562,-1.38781
AC004009.1,0.0703136,0.181918,0.610294,-1.63855
AC004012.1,0.124032,0.262632,1.48176,1.48176
AC004014.1,0.000849389,0.0136267,0.505268,-1.97915
AC004023.1,0.00508894,0.0368263,1.24247,1.24247
AC004034.1,0.0449203,0.135947,2.15531,2.15531
AC004039.1,0.523589,0.667501,1.0725,1.0725
AC004052.1,0.000673811,0.01199,0.526671,-1.89872
AC004053.1,0.791888,0.870929,1.07228,1.07228
AC004054.1,0.699012,0.805152,0.917655,-1.08973
AC004057.1,0.0336745,0.113645,2.87507,2.87507
AC004063.1,0.631851,0.754954,1.11215,1.11215
AC004066.2,0.941674,0.965343,0.97913,-1.02132
AC004067.1,0.000961368,0.0146639,0.323197,-3.09409
AC004076.1,0.380049,0.540529,1.28331,1.28331
AC004076.2,0.755575,0.845894,1.11113,1.11113
AC004080.1,0.625673,0.750122,1.08731,1.08731
AC004080.2,0.0612297,0.166408,0.628603,-1.59083
AC004080.4,0.0196116,0.0812373,0.614461,-1.62744
AC004112.1,0.471664,0.623323,0.867062,-1.15332
AC004129.3,0.0345081,0.115458,2.34538,2.34538
AC004130.1,0.00803771,0.0470264,1.97421,1.97421
AC004147.1,0.2675,0.432088,1.09953,1.09953
AC004147.2,0.806548,0.880207,1.05056,1.05056
AC004147.3,0.0604423,0.164988,0.549918,-1.81845
AC004147.5,0.514393,0.659636,1.46371,1.46371
AC004148.1,0.966581,0.980492,1.00758,1.00758
AC004148.2,0.53132,0.673811,1.20644,1.20644
AC004156.1,0.258342,0.422209,1.41802,1.41802
AC004158.1,0.423267,0.581529,1.13906,1.13906
AC004160.1,0.101186,0.22965,1.38336,1.38336
AC004160.2,0.00641055,0.0411693,0.51987,-1.92356
AC004217.1,0.0649301,0.17296,0.642236,-1.55706
AC004221.1,0.112119,0.245501,1.2599,1.2599
AC004223.2,0.020359,0.0830507,1.78672,1.78672
AC004223.3,0.00399136,0.033363,0.323987,-3.08654
AC004231.1,0.00879695,0.0496806,0.468351,-2.13515
AC004231.3,0.030238,0.106205,0.267412,-3.73954
AC004232.2,0.0041658,0.0342238,0.863824,-1.15764
AC004233.1,0.176636,0.330162,2.17115,2.17115
AC004233.2,0.00385906,0.0328046,0.51095,-1.95714
AC004233.3,0.000601975,0.0112242,3.61783,3.61783
AC004233.4,0.0180287,0.0770368,0.904563,-1.10551
AC004241.1,0.0279801,0.101168,1.25953,1.25953
AC004241.2,0.0490363,0.143829,0.391229,-2.55605
AC004241.3,0.292067,0.457018,1.45649,1.45649
AC004241.4,0.202193,0.359905,1.2464,1.2464
AC004253.1,0.228349,0.389898,0.858462,-1.16487
AC004253.2,0.478551,0.629143,0.874006,-1.14416
AC004257.1,0.590128,0.723026,1.16554,1.16554
AC004263.1,0.223469,0.384653,0.773932,-1.2921
AC004264.1,0.292505,0.457411,0.808998,-1.2361
AC004381.1,0.334941,0.498359,1.20958,1.20958
AC004408.1,0.637325,0.758801,0.891956,-1.12113
AC004415.1,0.000811887,0.0133123,0.429877,-2.32625
AC004448.1,0.154197,0.302305,1.28262,1.28262
AC004448.2,0.370627,0.531939,0.891165,-1.12213
AC004448.3,0.00650336,0.0414897,2.24147,2.24147
AC004449.1,0.0783534,0.194739,1.63884,1.63884
AC004461.2,0.0138743,0.0656153,1.83471,1.83471
AC004466.1,0.895872,0.937627,1.02968,1.02968
AC004466.2,0.0083099,0.0479571,1.62748,1.62748
AC004466.3,1.46E-05,0.00136948,7.17375,7.17375
AC004470.1,0.204062,0.362067,0.714631,-1.39932
AC004471.1,0.01285,0.0626413,2.03481,2.03481
AC004471.2,0.698784,0.805035,1.12398,1.12398
AC004477.1,0.912434,0.946976,1.03058,1.03058
AC004477.2,0.0167086,0.073503,1.46658,1.46658
AC004477.3,0.824033,0.891819,1.02675,1.02675
AC004485.1,0.861642,0.916254,1.13413,1.13413
AC004490.1,0.000130538,0.00472764,1.59557,1.59557
AC004492.1,0.134779,0.27696,1.36709,1.36709
AC004494.1,0.303115,0.468204,1.17733,1.17733
AC004522.2,0.177195,0.33083,1.56452,1.56452
AC004528.2,0.423893,0.582171,1.22914,1.22914
AC004540.1,0.0851098,0.205503,1.23966,1.23966
AC004540.2,0.0732031,0.186477,0.708278,-1.41187
AC004542.1,0.603776,0.733352,1.06272,1.06272
AC004542.2,0.370285,0.531568,1.26133,1.26133
AC004543.1,0.845696,0.905599,0.974885,-1.02576
AC004551.1,0.998639,0.999107,0.999668,-1.00033
AC004554.2,0.00554758,0.0379931,1.23878,1.23878
AC004584.1,0.0462543,0.138444,1.18135,1.18135
AC004585.1,0.0950657,0.220755,0.63841,-1.56639
AC004590.1,0.513979,0.659266,1.08186,1.08186
AC004593.1,0.179724,0.33376,0.672579,-1.48681
AC004593.2,0.0397299,0.12611,1.80349,1.80349
AC004594.1,0.416229,0.575322,1.04297,1.04297
AC004596.1,0.158815,0.30781,1.28931,1.28931
AC004597.1,0.491697,0.640563,1.09165,1.09165
AC004637.1,0.359114,0.521173,1.28814,1.28814
AC004656.1,0.614464,0.741313,0.883133,-1.13233
AC004672.1,0.587121,0.72072,1.1014,1.1014
AC004672.2,0.69772,0.804429,1.10032,1.10032
AC004687.1,0.772757,0.857271,0.896825,-1.11504
AC004690.2,0.00220136,0.0236473,0.642984,-1.55525
AC004691.1,0.0109827,0.0567545,1.21703,1.21703
AC004691.2,0.00620805,0.0404874,0.627213,-1.59435
AC004692.2,0.0241861,0.092341,1.34949,1.34949
AC004702.1,0.972174,0.983407,0.994221,-1.00581
AC004704.1,0.313143,0.477848,1.32927,1.32927
AC004706.1,0.0561099,0.156737,0.732457,-1.36527
AC004707.1,0.000460191,0.00980357,2.81649,2.81649
AC004765.1,0.159207,0.30829,0.823267,-1.21467
AC004771.1,0.357065,0.519073,0.843721,-1.18523
AC004771.2,0.140747,0.284772,0.623192,-1.60464
AC004771.3,0.240073,0.402734,1.23499,1.23499
AC004771.4,0.0907512,0.214492,1.24667,1.24667
AC004771.5,0.0662542,0.175074,0.724125,-1.38098
AC004775.1,0.0401358,0.126881,0.551906,-1.8119
AC004784.1,0.608501,0.736824,1.12837,1.12837
AC004801.3,0.0269514,0.0988599,2.50324,2.50324
AC004801.4,0.530736,0.673414,0.875923,-1.14165
AC004801.5,0.892136,0.935331,1.02862,1.02862
AC004801.6,0.888802,0.93349,1.04353,1.04353
AC004803.1,0.931646,0.959618,1.01461,1.01461
AC004812.2,0.029069,0.103494,0.462571,-2.16183
AC004816.1,0.00048713,0.0100345,0.392077,-2.55052
AC004816.2,0.00636825,0.0410189,1.94949,1.94949
AC004817.1,0.406113,0.566051,1.30211,1.30211
AC004817.2,0.191413,0.347858,0.769722,-1.29917
AC004817.3,0.033326,0.112982,0.563569,-1.7744
AC004817.4,0.779052,0.861973,1.03581,1.03581
AC004824.1,0.0513565,0.14822,0.763775,-1.30929
AC004824.2,0.000256107,0.00699131,0.471158,-2.12243
AC004825.2,0.000134211,0.0047859,2.06064,2.06064
AC004828.1,0.379128,0.539719,0.76069,-1.3146
AC004830.1,0.822092,0.890643,1.02148,1.02148
AC004832.1,0.474985,0.626309,0.923243,-1.08314
AC004832.3,0.438711,0.595271,0.833778,-1.19936
AC004832.4,0.453363,0.60812,1.35371,1.35371
AC004832.5,0.194806,0.351733,1.27197,1.27197
AC004832.6,0.00303984,0.0285459,0.543926,-1.83849
AC004834.1,0.0220916,0.0873453,0.589085,-1.69755
AC004835.1,0.0896918,0.212773,0.829033,-1.20622
AC004837.2,0.00222034,0.0237983,6.17755,6.17755
AC004837.3,0.0124202,0.0613129,1.54673,1.54673
AC004839.1,0.0937103,0.218695,1.7247,1.7247
AC004846.1,0.870911,0.922033,1.05343,1.05343
AC004846.2,0.000517347,0.0103248,2.81791,2.81791
AC004847.1,0.0145966,0.0675486,0.418679,-2.38846
AC004852.2,0.202464,0.3602,0.557596,-1.79341
AC004854.2,4.72E-05,0.00268819,4.11299,4.11299
AC004862.1,0.138569,0.281994,1.20453,1.20453
AC004865.2,0.318632,0.482943,0.75883,-1.31782
AC004869.1,0.117042,0.252895,1.48943,1.48943
AC004869.2,0.859156,0.91483,0.946369,-1.05667
AC004870.2,0.575064,0.710433,1.0809,1.0809
AC004870.3,0.503098,0.650256,1.20014,1.20014
AC004870.4,0.206715,0.365201,1.23057,1.23057
AC004872.1,0.0197298,0.0815085,2.28534,2.28534
AC004875.1,0.480499,0.631036,1.1855,1.1855
AC004877.1,0.057723,0.159936,0.552875,-1.80873
AC004878.7,0.883879,0.930373,0.884376,-1.13074
AC004882.1,0.00673094,0.0423331,1.47855,1.47855
AC004884.2,0.503581,0.650748,1.15188,1.15188
AC004888.1,0.0442704,0.134762,0.513397,-1.94781
AC004889.1,0.0489544,0.143702,0.714639,-1.39931
AC004895.1,0.0280343,0.101307,0.501195,-1.99523
AC004900.1,0.896524,0.937978,1.01866,1.01866
AC004906.1,0.700074,0.806003,1.07413,1.07413
AC004908.3,0.0867401,0.208038,0.570662,-1.75235
AC004917.1,0.00121624,0.0167898,0.629511,-1.58853
AC004918.1,0.000676357,0.0120067,0.299808,-3.33547
AC004918.3,0.0991509,0.226613,0.456445,-2.19084
AC004920.1,2.75E-05,0.00200774,6.05399,6.05399
AC004921.1,0.169316,0.321028,1.18931,1.18931
AC004922.1,0.739076,0.833743,1.05831,1.05831
AC004923.4,0.0304133,0.106587,1.82256,1.82256
AC004930.1,0.13942,0.283006,0.787107,-1.27047
AC004936.1,0.369555,0.530894,0.884525,-1.13055
AC004941.1,0.0312367,0.108468,0.346013,-2.89007
AC004943.1,0.00659347,0.0418324,0.473313,-2.11277
AC004943.2,0.11844,0.2549,1.40792,1.40792
AC004943.3,0.0192417,0.0803513,0.570526,-1.75277
AC004944.1,0.0201576,0.082553,1.73384,1.73384
AC004946.1,0.121795,0.259404,1.44321,1.44321
AC004947.1,0.469403,0.621471,1.132,1.132
AC004948.1,0.990925,0.994386,1.00611,1.00611
AC004949.1,7.73E-05,0.00355333,2.89321,2.89321
AC004951.1,0.0346842,0.115822,0.896465,-1.11549
AC004951.4,0.0987146,0.226066,1.59971,1.59971
AC004969.1,0.212365,0.37175,1.40629,1.40629
AC004973.1,0.316436,0.480716,0.649718,-1.53913
AC004974.1,0.000772205,0.0129396,2.9285,2.9285
AC004975.2,0.00029095,0.00754379,1.27796,1.27796
AC004982.2,0.843569,0.90425,0.950764,-1.05179
AC004988.1,0.481813,0.632105,1.09238,1.09238
AC004990.1,0.204596,0.362709,1.31402,1.31402
AC004994.1,0.0790731,0.195876,1.67481,1.67481
AC004997.1,0.476582,0.627679,0.834047,-1.19897
AC005005.3,0.654142,0.772147,1.1041,1.1041
AC005008.2,0.000791069,0.0131086,1.9717,1.9717
AC005009.1,0.252775,0.416482,1.24252,1.24252
AC005009.2,0.44962,0.60509,1.09426,1.09426
AC005013.1,0.637364,0.758801,1.17834,1.17834
AC005014.2,0.550656,0.68966,0.752513,-1.32888
AC005014.3,0.0540552,0.153145,1.45438,1.45438
AC005019.2,0.0233517,0.0903826,1.18513,1.18513
AC005021.1,0.253057,0.416763,1.12799,1.12799
AC005034.2,0.0859603,0.206866,1.28342,1.28342
AC005034.3,0.000652646,0.0117251,0.322909,-3.09685
AC005034.4,0.684537,0.795574,1.16701,1.16701
AC005034.5,0.112697,0.246352,0.49707,-2.01179
AC005037.1,0.0292882,0.104059,1.30557,1.30557
AC005041.1,0.581727,0.715825,1.06126,1.06126
AC005041.3,0.0268123,0.0985512,0.64103,-1.55999
AC005042.2,0.476977,0.627985,1.07202,1.07202
AC005046.1,2.90E-06,0.000555948,3.55348,3.55348
AC005050.1,0.73077,0.828197,0.946613,-1.0564
AC005062.1,0.0208345,0.0841947,0.769944,-1.2988
AC005064.1,0.474441,0.625831,0.86003,-1.16275
AC005070.3,0.0136404,0.0649391,3.20353,3.20353
AC005076.1,0.0300111,0.105717,1.27411,1.27411
AC005082.1,0.0112338,0.0574234,0.692681,-1.44367
AC005082.2,0.803381,0.878075,1.05883,1.05883
AC005083.1,0.00145008,0.0186844,1.51056,1.51056
AC005090.1,0.379446,0.540006,0.713668,-1.40121
AC005091.1,0.833284,0.897575,1.27448,1.27448
AC005096.1,0.0128448,0.0626413,1.7847,1.7847
AC005100.1,0.00226103,0.0240961,2.9546,2.9546
AC005104.1,0.519902,0.66447,1.21738,1.21738
AC005144.1,0.0378255,0.122392,1.17345,1.17345
AC005150.1,0.156993,0.305428,1.61022,1.61022
AC005154.3,0.383643,0.544126,0.826848,-1.20941
AC005154.4,0.387543,0.548178,1.26296,1.26296
AC005154.5,0.534472,0.676356,1.16297,1.16297
AC005160.1,0.822948,0.891182,1.06615,1.06615
AC005162.1,0.522725,0.666837,0.808741,-1.23649
AC005162.2,0.0231623,0.0899598,0.513688,-1.94671
AC005162.3,0.128702,0.269012,1.27693,1.27693
AC005165.1,0.107796,0.239205,1.15388,1.15388
AC005180.1,0.000812561,0.0133138,0.316239,-3.16217
AC005180.2,0.0753466,0.189749,0.431099,-2.31965
AC005186.1,0.268368,0.433008,0.877569,-1.13951
AC005197.1,0.00230753,0.0243199,2.84907,2.84907
AC005208.1,0.210691,0.370006,0.728798,-1.37212
AC005209.1,0.070493,0.182172,0.643874,-1.5531
AC005220.1,0.787234,0.867726,1.06063,1.06063
AC005224.1,0.26352,0.42784,0.570417,-1.7531
AC005224.2,0.287191,0.451914,0.722619,-1.38385
AC005225.1,0.0742895,0.18814,0.581408,-1.71996
AC005225.2,0.217876,0.378275,1.41661,1.41661
AC005225.3,0.199404,0.35681,0.678934,-1.4729
AC005229.4,0.53798,0.679261,0.73449,-1.36149
AC005232.1,0.304679,0.469812,1.13961,1.13961
