Probeset ID,pval_severe_vs_mild,adj_pval_severe_vs_mild,ratio_severe_vs_mild,FC_severe_vs_mild
IER2,0.435556,0.592622,0.831203,-1.20308
IER3,3.72E-05,0.00238021,13.3571,13.3571
IER3-AS1,1.03E-05,0.00114292,3.34302,3.34302
IER3IP1,0.00590924,0.0393166,0.383845,-2.60521
IER5,7.04E-05,0.00334978,4.62272,4.62272
IER5L,0.224633,0.385739,1.64159,1.64159
IFFO1,0.257275,0.421207,1.2483,1.2483
IFFO2,0.00192749,0.0218895,0.480697,-2.08031
IFI16,0.765977,0.852813,0.929607,-1.07572
IFI27,0.00428768,0.0347605,0.548612,-1.82278
IFI27L1,0.0171159,0.0745415,1.83486,1.83486
IFI27L2,0.269616,0.434332,0.720851,-1.38725
IFI30,0.100407,0.228518,0.599211,-1.66886
IFI35,0.187724,0.343381,0.661636,-1.5114
IFI44,0.01255,0.0617266,0.206838,-4.83469
IFI44L,0.0161288,0.0718198,0.137104,-7.29374
IFI6,0.779976,0.862612,0.927965,-1.07763
IFIH1,0.275579,0.44044,0.581504,-1.71968
IFIT1,0.206879,0.365329,0.692622,-1.44379
IFIT1B,0.940201,0.964666,0.971048,-1.02982
IFIT2,0.384524,0.545026,0.704647,-1.41915
IFIT3,0.558867,0.696374,0.805697,-1.24116
IFIT5,0.559947,0.697255,1.11328,1.11328
IFITM1,0.0517761,0.148904,1.29102,1.29102
IFITM10,0.0539995,0.153064,0.693815,-1.44131
IFITM2,0.816605,0.88667,0.942,-1.06157
IFITM3,0.714729,0.817209,0.90473,-1.1053
IFITM5,0.586489,0.720181,0.914307,-1.09372
IFNA1,0.156635,0.30509,1.24164,1.24164
IFNA10,0.103403,0.23269,1.50862,1.50862
IFNA13,0.110019,0.242536,0.752107,-1.3296
IFNA2,0.792243,0.871106,1.06498,1.06498
IFNA21,0.0835266,0.203224,1.18998,1.18998
IFNA6,0.531812,0.67413,1.23765,1.23765
IFNA8,0.0812684,0.199604,1.20508,1.20508
IFNAR1,0.00649259,0.0414682,1.62361,1.62361
IFNAR2,0.31616,0.480473,1.29651,1.29651
IFNB1,0.00163626,0.0200174,4.50354,4.50354
IFNE,0.207507,0.36613,1.13616,1.13616
IFNG,0.0555489,0.155876,0.364574,-2.74293
IFNG-AS1,0.545808,0.685552,1.15875,1.15875
IFNGR1,0.412223,0.571492,1.46948,1.46948
IFNGR2,0.0742415,0.188065,0.508067,-1.96825
IFNK,0.273815,0.438699,1.12447,1.12447
IFNL1,0.0913152,0.215275,1.72223,1.72223
IFNL3,0.503983,0.651024,1.2332,1.2332
IFNL4,0.580497,0.714811,1.14229,1.14229
IFNLR1,0.19661,0.353815,0.568374,-1.7594
IFNW1,0.00637863,0.0410445,1.24139,1.24139
IFRD1,0.00310596,0.0288961,1.57632,1.57632
IFRD2,0.0237555,0.0913692,0.400613,-2.49617
IFT122,1.90E-05,0.00159404,0.0725855,-13.7769
IFT140,0.512891,0.658394,1.1037,1.1037
IFT172,0.00175276,0.0208011,0.668886,-1.49502
IFT20,0.971384,0.982934,1.01217,1.01217
IFT22,0.0305875,0.106994,0.461975,-2.16462
IFT27,0.074698,0.188671,0.623982,-1.60261
IFT43,0.00725796,0.044104,3.07209,3.07209
IFT46,0.093874,0.21896,0.655725,-1.52503
IFT52,0.0144691,0.0672016,0.603357,-1.65739
IFT57,0.132233,0.273662,1.45356,1.45356
IFT74,0.00974705,0.0526913,1.75674,1.75674
IFT74-AS1,0.0393694,0.125464,2.20684,2.20684
IFT80,0.127284,0.267193,1.33277,1.33277
IFT81,0.0696811,0.180793,2.0072,2.0072
IFT88,0.709806,0.813653,1.14146,1.14146
IGBP1,0.24348,0.406395,1.98976,1.98976
IGBP1-AS1,0.120725,0.257961,0.609476,-1.64075
IGBP1-AS2,0.0408095,0.12808,0.707628,-1.41317
IGDCC3,0.00109042,0.0157567,3.30091,3.30091
IGDCC4,0.0854147,0.206045,0.638023,-1.56734
IGF1,0.688995,0.798354,1.25153,1.25153
IGF1R,0.00222707,0.0238299,1.82264,1.82264
IGF2,0.52999,0.672792,0.685229,-1.45937
IGF2-AS,0.000179628,0.00564237,0.657882,-1.52003
IGF2BP1,0.818866,0.888354,1.05642,1.05642
IGF2BP2,0.773438,0.857794,0.945428,-1.05772
IGF2BP2-AS1,0.0272153,0.0994616,0.728846,-1.37203
IGF2BP3,0.0698442,0.181049,0.514219,-1.9447
IGF2R,0.0302769,0.106275,2.13162,2.13162
IGFALS,0.151043,0.298306,1.4993,1.4993
IGFBP1,0.81949,0.888812,1.04044,1.04044
IGFBP2,0.730125,0.827717,0.867745,-1.15241
IGFBP3,0.108368,0.239923,0.706608,-1.41521
IGFBP4,0.188736,0.344613,0.868042,-1.15202
IGFBP5,0.972805,0.983785,0.989334,-1.01078
IGFBP6,0.576934,0.711932,0.887331,-1.12698
IGFBP7,0.0129249,0.0628382,2.21673,2.21673
IGFBP7-AS1,0.00689989,0.0429915,0.573292,-1.74431
IGFBPL1,0.314659,0.479042,1.24134,1.24134
IGFL1,0.190668,0.347051,1.1394,1.1394
IGFL2,0.403402,0.563541,1.34211,1.34211
IGFL2-AS1,0.523852,0.667761,0.950326,-1.05227
IGFL3,0.861124,0.915949,1.07985,1.07985
IGFL4,0.0165995,0.0732056,0.612498,-1.63266
IGFN1,0.0381352,0.12303,0.721003,-1.38696
IGHMBP2,0.00160365,0.019773,1.42862,1.42862
IGIP,0.307223,0.472134,0.879566,-1.13692
IGLL1,0.0596979,0.163734,0.60695,-1.64758
IGLL5,0.702832,0.807956,0.779693,-1.28256
IGLON5,0.413076,0.572303,0.720769,-1.38741
IGSF1,0.109343,0.241451,1.22116,1.22116
IGSF10,0.7985,0.87524,0.951913,-1.05052
IGSF11,0.140192,0.284041,2.28056,2.28056
IGSF11-AS1,0.60208,0.732166,1.16381,1.16381
IGSF21,0.112456,0.245997,0.458075,-2.18305
IGSF21-AS1,0.204014,0.362014,1.12306,1.12306
IGSF22,0.0012217,0.0168444,0.380461,-2.62839
IGSF23,0.305114,0.470216,0.755155,-1.32423
IGSF3,0.481669,0.631995,1.21006,1.21006
IGSF5,0.0967474,0.223065,2.56048,2.56048
IGSF6,0.595115,0.726852,1.14724,1.14724
IGSF8,0.00626258,0.0407092,0.473065,-2.11387
IGSF9,0.0157309,0.0707811,0.724801,-1.37969
IGSF9B,0.165465,0.315917,1.525,1.525
IHH,0.605215,0.734523,1.11125,1.11125
IK,0.523308,0.667314,0.843047,-1.18617
IKBIP,0.000690083,0.012111,4.90027,4.90027
IKBKB,0.975539,0.985454,0.993215,-1.00683
IKBKE,0.0242502,0.0925258,0.46249,-2.16221
IKBKG,0.871859,0.922757,0.97905,-1.0214
IKZF1,0.0984837,0.225666,0.59006,-1.69474
IKZF2,0.710467,0.814163,1.0414,1.0414
IKZF3,0.0124634,0.0614654,0.324714,-3.07963
IKZF4,0.0178675,0.076677,0.645798,-1.54847
IKZF5,0.00016154,0.00531062,1.67612,1.67612
IL10,0.20006,0.357546,1.34925,1.34925
IL10RA,0.01018,0.0540712,0.782944,-1.27723
IL10RB,0.979467,0.987709,0.992308,-1.00775
IL11,0.00368405,0.0319903,0.38874,-2.57241
IL11RA,8.90E-05,0.00382152,0.39373,-2.53981
IL12A,0.172139,0.324561,1.28788,1.28788
IL12A-AS1,0.246006,0.409058,1.21145,1.21145
IL12B,0.832494,0.897185,0.958547,-1.04325
IL12RB1,0.016725,0.073537,0.690868,-1.44745
IL12RB2,0.0147292,0.0679659,0.469747,-2.12881
IL13,0.00217995,0.0235059,3.95846,3.95846
IL13RA1,0.000234988,0.00662243,4.23504,4.23504
IL13RA2,0.255219,0.419045,1.32608,1.32608
IL15,0.0135516,0.0646555,0.597846,-1.67267
IL15RA,0.00531162,0.0370861,0.52605,-1.90096
IL16,0.667214,0.782296,0.913105,-1.09516
IL17A,0.0867029,0.207994,1.34962,1.34962
IL17B,0.0244443,0.0928992,0.495259,-2.01915
IL17C,0.0172174,0.0748184,1.95011,1.95011
IL17D,0.00616307,0.0403343,0.597381,-1.67397
IL17F,0.060719,0.165465,0.675246,-1.48094
IL17RA,0.942429,0.965759,1.01169,1.01169
IL17RB,0.00155218,0.0194185,0.292741,-3.41599
IL17RC,0.0228063,0.0891399,0.646052,-1.54786
IL17RD,0.58316,0.717194,1.09189,1.09189
IL17RE,0.00143325,0.0185627,0.379107,-2.63778
IL17REL,0.918554,0.950642,0.994127,-1.00591
IL18,0.0818825,0.200609,0.679724,-1.47119
IL18BP,0.000687573,0.0120942,0.370409,-2.69972
IL18R1,0.00297437,0.0282365,2.01816,2.01816
IL18RAP,1.19E-06,0.000336059,4.1971,4.1971
IL19,0.026045,0.0968131,0.401608,-2.48999
IL1A,0.000764823,0.0128836,9.59231,9.59231
IL1B,0.000324839,0.00803121,2.55758,2.55758
IL1F10,0.0632671,0.170101,0.689456,-1.45042
IL1R1,0.116351,0.251912,0.582467,-1.71683
IL1R1-AS1,0.0847306,0.204996,1.89635,1.89635
IL1R2,0.00126268,0.0171562,26.0514,26.0514
IL1RAP,0.280632,0.445376,0.723353,-1.38245
IL1RAPL1,0.0119875,0.0598894,0.36296,-2.75512
IL1RAPL2,0.14927,0.2959,1.45359,1.45359
IL1RL1,1.05E-05,0.00116091,4.32798,4.32798
IL1RL2,0.487574,0.636907,1.22411,1.22411
IL1RN,0.00133462,0.0177096,2.2458,2.2458
IL2,0.168055,0.31942,1.22365,1.22365
IL20,0.268828,0.433514,1.29719,1.29719
IL20RA,0.00145029,0.0186844,2.47547,2.47547
IL20RB,0.0226669,0.0887747,0.774464,-1.29122
IL20RB-AS1,0.0298254,0.105341,1.18949,1.18949
IL21,0.00517995,0.0368263,0.427299,-2.34028
IL21-AS1,0.38461,0.545097,1.19292,1.19292
IL21R,0.153853,0.301873,1.24314,1.24314
IL21R-AS1,3.73E-05,0.00238021,0.342506,-2.91965
IL22,0.0209552,0.0844674,0.461416,-2.16724
IL22RA1,0.26378,0.428131,0.734002,-1.36239
IL22RA2,0.168619,0.320207,0.784914,-1.27403
IL23A,0.905917,0.94335,0.968452,-1.03258
IL23R,0.971013,0.982785,1.00649,1.00649
IL24,0.0197886,0.0816611,0.406605,-2.45939
IL25,0.637842,0.759057,1.18299,1.18299
IL26,0.55399,0.692226,1.13569,1.13569
IL27,0.226613,0.387894,0.493787,-2.02517
IL27RA,0.0107997,0.0562505,0.44635,-2.2404
IL2RA,0.0291962,0.103831,0.577473,-1.73168
IL2RB,0.00083296,0.0134941,0.448466,-2.22982
