Probeset ID,pval_severe_vs_healthy,adj_pval_severe_vs_healthy,ratio_severe_vs_healthy,FC_severe_vs_healthy,pval_severe_vs_mild,adj_pval_severe_vs_mild,ratio_severe_vs_mild,FC_severe_vs_mild
3137,8.28E-05,0.00285293,2.97614,2.97614,0.0236715,0.215367,1.74474,1.74474
3138,0.784243,0.865343,0.945206,-1.05797,0.44254,0.705997,0.850481,-1.1758
3139,0.0854578,0.216194,0.70031,-1.42794,0.0373119,0.254336,0.643011,-1.55518
3140,0.478673,0.647519,0.880828,-1.1353,0.557612,0.784859,0.899296,-1.11198
3141,6.78E-07,0.000166716,3.94247,3.94247,0.0120541,0.187058,1.68347,1.68347
AACS,0.171976,0.338025,0.748859,-1.33536,0.0955633,0.363581,0.706085,-1.41626
AAK1,0.0181182,0.0761886,0.677205,-1.47666,0.495222,0.743843,0.877664,-1.13939
AAMP,0.0723797,0.191932,0.748383,-1.33621,0.00339151,0.134716,0.648914,-1.54104
AATF,0.909553,0.946985,0.981735,-1.0186,0.0410106,0.261484,0.747634,-1.33755
AATK,0.134091,0.287325,1.47943,1.47943,0.456583,0.716867,1.21754,1.21754
ABCA1,0.382833,0.562528,1.28546,1.28546,0.14827,0.434288,1.50647,1.50647
ABCA7,0.444464,0.619308,1.1414,1.1414,0.81087,0.920696,0.9597,-1.04199
ABCC10,0.124283,0.274679,0.735759,-1.35914,0.10929,0.384983,0.729641,-1.37054
ABCC3,0.904828,0.943191,1.04562,1.04562,0.295837,0.590673,0.697984,-1.4327
ABCD1,0.00476568,0.0314075,1.56632,1.56632,0.990216,0.996475,1.00168,1.00168
ABCF1,0.638437,0.772438,0.926065,-1.07984,0.0218657,0.21202,0.705418,-1.4176
ABCF3,0.643322,0.775894,0.941,-1.0627,0.0496383,0.277998,0.786426,-1.27158
ABHD18,0.0222829,0.087596,0.628447,-1.59122,0.78574,0.903767,0.93553,-1.06891
ABHD2,0.0653708,0.178702,0.624789,-1.60054,0.185127,0.478372,0.686912,-1.45579
ABHD4,0.108928,0.253117,1.30903,1.30903,0.990443,0.996475,1.00188,1.00188
ABI3,0.74605,0.840043,1.08375,1.08375,0.231637,0.527077,0.754579,-1.32524
ABL2,0.33408,0.518241,1.12568,1.12568,0.0257845,0.223646,1.36027,1.36027
ABR,0.925344,0.956758,0.985568,-1.01464,0.0820641,0.340903,0.776201,-1.28833
ABTB1,0.105825,0.248855,1.31874,1.31874,0.0166923,0.19644,1.60032,1.60032
ACAA1,0.00237195,0.020399,1.4567,1.4567,0.0610934,0.302197,1.25544,1.25544
ACADVL,0.327853,0.511679,1.12899,1.12899,0.542141,0.775874,1.0768,1.0768
ACAP1,0.000419503,0.00689097,1.52449,1.52449,0.00249571,0.134716,1.47381,1.47381
ACAP3,0.912883,0.949508,0.983355,-1.01693,0.737486,0.879392,0.948054,-1.05479
ACER3,0.216356,0.395748,1.19436,1.19436,0.107926,0.38386,1.29707,1.29707
ACIN1,0.893848,0.937933,0.982942,-1.01735,0.444655,0.706749,0.909207,-1.09986
ACLY,0.0415913,0.132057,0.68093,-1.46858,0.00569766,0.16226,0.594852,-1.68109
ACO2,0.696438,0.808259,0.933634,-1.07108,0.0167196,0.19644,0.67153,-1.48914
ACOT9,0.071799,0.190876,1.26623,1.26623,0.312076,0.606556,1.11756,1.11756
ACOX1,0.966266,0.982827,0.992726,-1.00733,0.566012,0.788829,1.11967,1.11967
ACRBP,0.0107847,0.0529245,1.88143,1.88143,0.440798,0.705118,1.18542,1.18542
ACSF3,0.919246,0.952965,0.986145,-1.01405,0.547246,0.778281,0.923285,-1.08309
ACSL1,0.0267998,0.098791,1.84523,1.84523,0.319925,0.611369,1.296,1.296
ACTB,0.488081,0.6546,0.899828,-1.11132,0.00710605,0.174276,0.683355,-1.46337
