Probeset ID,pval_critical_vs_noncritical,adj_pval_critical_vs_noncritical,ratio_critical_vs_noncritical,FC_critical_vs_noncritical
SENP6,0.0253854,0.0485677,1.15679,1.15679
SENP7,0.0409831,0.0724857,1.15373,1.15373
SENP8,0.290846,0.372903,1.10665,1.10665
SEPHS1,0.000181949,0.000756752,0.796112,-1.2561
SEPHS2,2.81E-07,4.23E-06,1.53755,1.53755
SEPSECS,0.160143,0.228129,0.926756,-1.07903
SEPSECS-AS1,0.803045,0.847191,1.04041,1.04041
SEPTIN1,2.49E-12,1.96E-09,0.481674,-2.07609
SEPTIN10,0.0472948,0.0819251,0.782659,-1.27769
SEPTIN11,0.0187761,0.0376938,0.820494,-1.21878
SEPTIN14P19,8.75E-08,1.74E-06,2.45762,2.45762
SEPTIN2,0.385597,0.470347,1.04547,1.04547
SEPTIN4,0.00330057,0.0085884,2.2151,2.2151
SEPTIN5,0.078807,0.12521,1.4178,1.4178
SEPTIN6,2.28E-05,0.000136162,0.747436,-1.33791
SEPTIN7,0.00113925,0.00350505,1.18386,1.18386
SEPTIN7-DT,0.844425,0.881208,1.01524,1.01524
SEPTIN7P13,0.919575,0.938709,0.991149,-1.00893
SEPTIN7P14,0.000304187,0.00115917,1.49019,1.49019
SEPTIN7P2,0.000774607,0.00252534,0.817372,-1.22343
SEPTIN8,1.30E-07,2.37E-06,0.611864,-1.63435
SEPTIN9,1.44E-05,9.40E-05,0.705,-1.41844
SERAC1,4.90E-07,6.40E-06,1.42135,1.42135
SERBP1,0.00330644,0.00860058,0.883994,-1.13123
SERF1A,0.756132,0.808498,0.94583,-1.05727
SERF1B,0.0139558,0.0294309,0.773724,-1.29245
SERF2,0.104818,0.159136,1.22567,1.22567
SERGEF,2.60E-06,2.37E-05,0.726165,-1.3771
SERINC1,2.06E-05,0.00012555,1.57123,1.57123
SERINC2,0.287545,0.369727,1.24779,1.24779
SERINC3,1.01E-05,7.02E-05,1.32225,1.32225
SERINC5,0.00196206,0.00553428,0.792295,-1.26216
SERP1,0.0404744,0.0717803,1.14245,1.14245
SERPINA1,2.92E-06,2.60E-05,1.94572,1.94572
SERPINB1,2.54E-08,7.10E-07,2.3169,2.3169
SERPINB10,0.000327643,0.0012361,3.23187,3.23187
SERPINB2,4.49E-06,3.63E-05,2.33108,2.33108
SERPINB6,0.522087,0.602092,1.05132,1.05132
SERPINB8,5.04E-05,0.000259367,1.34598,1.34598
SERPINB9,0.405388,0.48977,0.931558,-1.07347
SERPINB9P1,0.835346,0.874072,1.02499,1.02499
SERPINE1,0.000283616,0.00109559,2.25738,2.25738
SERPINE2,0.0027212,0.00729748,1.77967,1.77967
SERPINF1,0.000887317,0.00283114,0.640033,-1.56242
SERPING1,0.00627437,0.0148019,2.50673,2.50673
SERPINH1,0.000111869,0.000509023,0.675955,-1.47939
SERPINI1,0.0443114,0.0774102,1.23782,1.23782
SERTAD1,0.00223777,0.00617502,1.35867,1.35867
SERTAD2,0.256718,0.336195,1.10858,1.10858
SERTAD3,1.57E-07,2.70E-06,1.52997,1.52997
SESN1,2.46E-07,3.80E-06,0.735803,-1.35906
SESN2,0.000501236,0.00175983,1.47658,1.47658
SESN3,0.869844,0.901257,0.977783,-1.02272
SESTD1,2.04E-07,3.30E-06,1.72564,1.72564
SET,0.00377345,0.00960501,0.821732,-1.21694
SETBP1,0.0011134,0.00343802,0.688269,-1.45292
SETD1A,0.211344,0.287153,0.850736,-1.17545
