Probeset ID,pval_critical_vs_noncritical,adj_pval_critical_vs_noncritical,ratio_critical_vs_noncritical,FC_critical_vs_noncritical
7SK,0.104784,0.15913,2.05276,2.05276
A1BG,0.308467,0.391791,0.906658,-1.10295
A1BG-AS1,0.968831,0.977124,0.99642,-1.00359
A2M,9.34E-05,0.00043634,0.525943,-1.90135
A2M-AS1,1.66E-06,1.66E-05,0.365713,-2.73439
AAAS,0.0343954,0.0627148,0.842152,-1.18743
AACS,0.0116756,0.025199,0.816388,-1.22491
AAGAB,0.00384475,0.00976575,1.12681,1.12681
AAK1,0.015991,0.0329929,0.810321,-1.23408
AAMDC,0.448622,0.531861,1.05587,1.05587
AAMP,3.78E-09,1.84E-07,0.727227,-1.37509
AAR2,0.000141708,0.000617246,0.774156,-1.29173
AARS1,0.0166308,0.0340772,0.775732,-1.2891
AARS2,4.61E-08,1.10E-06,0.633804,-1.57777
AARSD1,3.87E-07,5.41E-06,0.728489,-1.37271
AASDH,0.345325,0.429832,0.932457,-1.07244
AASDHPPT,0.104946,0.159308,0.926686,-1.07911
AASS,0.00581265,0.0138628,0.723435,-1.38229
AATBC,0.00449566,0.011128,0.654131,-1.52875
AATF,0.134271,0.195861,0.928587,-1.07691
AATK,0.00169242,0.00489276,1.60581,1.60581
ABALON,0.451415,0.534748,1.10772,1.10772
ABAT,0.36226,0.447079,1.09933,1.09933
ABCA1,6.03E-06,4.67E-05,2.25025,2.25025
ABCA10,0.113466,0.170231,1.16412,1.16412
ABCA11P,0.000795198,0.00258484,0.736779,-1.35726
ABCA13,7.83E-05,0.000377006,3.06136,3.06136
ABCA2,0.00332982,0.00864888,1.48544,1.48544
ABCA3,0.067525,0.110158,0.808382,-1.23704
ABCA5,0.502408,0.583754,1.05052,1.05052
ABCA6,0.0732793,0.117781,1.2208,1.2208
ABCA7,0.0929636,0.143628,1.20523,1.20523
ABCB1,8.85E-06,6.35E-05,0.541406,-1.84704
ABCB10,0.808387,0.851576,0.976473,-1.02409
ABCB4,0.00668242,0.0156006,0.603822,-1.65612
ABCB6,0.00406918,0.0102345,1.36767,1.36767
ABCB7,0.00070867,0.00235579,0.817717,-1.22292
ABCB8,0.00156986,0.00458268,0.806739,-1.23956
ABCB9,0.0125659,0.0268504,0.758887,-1.31772
ABCC1,0.0479273,0.0828212,0.840757,-1.1894
ABCC10,0.0169406,0.0345886,0.810272,-1.23415
ABCC13,0.870951,0.901949,1.05535,1.05535
ABCC2,0.000486505,0.0017144,1.42467,1.42467
ABCC3,0.321384,0.405333,1.26717,1.26717
ABCC4,0.0911267,0.141239,1.2906,1.2906
ABCC5,0.215437,0.2916,0.893853,-1.11875
ABCC6,0.855871,0.890631,1.03046,1.03046
ABCD1,0.0450001,0.0784039,1.2156,1.2156
ABCD2,7.37E-05,0.00035786,0.574358,-1.74107
ABCD3,0.963717,0.972923,1.00306,1.00306
ABCD4,3.93E-07,5.46E-06,0.761074,-1.31393
ABCE1,0.0470132,0.0814928,0.809723,-1.23499
ABCF1,3.73E-05,0.000204127,0.752125,-1.32957
ABCF2,0.00220868,0.00611352,0.832487,-1.20122
ABCF3,5.90E-07,7.39E-06,0.807444,-1.23848
ABCG1,0.121077,0.179566,1.26954,1.26954
ABCG2,0.834798,0.873699,1.06069,1.06069
ABHD10,0.217037,0.293176,0.896753,-1.11513
ABHD11,0.764904,0.815875,0.974856,-1.02579
ABHD12,0.000416706,0.00150989,0.77171,-1.29582
ABHD13,0.000117059,0.000528167,1.47916,1.47916
ABHD14A,1.10E-11,4.51E-09,0.588551,-1.69909
ABHD14B,4.06E-09,1.92E-07,0.606585,-1.64857
ABHD15,9.95E-09,3.54E-07,0.6215,-1.60901
ABHD16A,7.68E-06,5.65E-05,1.54934,1.54934
ABHD17A,8.06E-05,0.000385581,0.817927,-1.2226
ABHD17AP5,0.189905,0.262683,0.821843,-1.21678
ABHD17B,0.992994,0.99521,0.999729,-1.00027
ABHD17C,0.0261003,0.0496962,1.27343,1.27343
ABHD18,0.000115581,0.000522769,1.18112,1.18112
ABHD2,0.222423,0.299187,1.13244,1.13244
ABHD3,7.07E-05,0.000345801,1.46824,1.46824
ABHD4,0.00602792,0.0143026,1.35334,1.35334
ABHD5,0.000358781,0.0013295,1.55779,1.55779
ABHD6,0.000266019,0.0010385,0.789708,-1.26629
ABHD8,0.289054,0.371202,1.07603,1.07603
ABI1,5.47E-06,4.32E-05,1.32245,1.32245
ABI2,0.0350777,0.0637026,0.825368,-1.21158
ABI3,4.62E-05,0.0002426,0.600972,-1.66397
ABITRAM,4.39E-07,5.92E-06,1.44855,1.44855
ABL1,0.0476791,0.0824816,0.839112,-1.19174
ABL2,6.93E-05,0.000339905,1.51375,1.51375
ABLIM1,0.000160018,0.000681509,0.640583,-1.56108
ABLIM2,0.000430902,0.00155,0.638973,-1.56501
ABLIM3,0.0324796,0.0598772,1.74089,1.74089
ABO,0.88031,0.909302,0.965703,-1.03551
ABR,0.0270538,0.0512617,1.24557,1.24557
ABRACL,0.249923,0.329041,1.07807,1.07807
ABRAXAS1,0.267458,0.348008,0.906781,-1.1028
ABRAXAS2,0.0434762,0.0762292,1.10174,1.10174
ABT1,0.0045633,0.0112664,0.915678,-1.09209
ABTB1,0.0104864,0.0230195,1.33316,1.33316
ABTB2,0.702489,0.7626,1.05181,1.05181
ACAA1,0.000479546,0.00169361,1.29573,1.29573
ACAA2,1.89E-05,0.000117038,0.745176,-1.34197
ACACA,0.124732,0.184076,0.900287,-1.11076
ACACB,2.35E-05,0.000139535,0.644475,-1.55165
ACAD10,0.135238,0.197111,0.926909,-1.07885
ACAD11,6.35E-05,0.000316025,0.71523,-1.39815
ACAD8,0.822057,0.863571,1.0128,1.0128
ACAD9,3.21E-09,1.70E-07,0.752612,-1.32871
ACADM,0.424129,0.508244,1.06924,1.06924
ACADS,0.0010127,0.00316929,0.787011,-1.27063
ACADSB,0.000107318,0.000490177,0.760065,-1.31568
ACADVL,0.960092,0.970216,0.996315,-1.0037
ACAP1,8.08E-06,5.87E-05,1.41577,1.41577
ACAP2,3.83E-07,5.37E-06,1.47174,1.47174
ACAP2-IT1,0.000182763,0.000759257,1.45408,1.45408
ACAP3,0.00213785,0.00593462,0.788614,-1.26805
ACAT1,0.331034,0.415017,1.11522,1.11522
ACAT2,0.939275,0.953641,0.99498,-1.00505
ACBD3,0.565094,0.642057,1.02814,1.02814
ACBD4,0.151392,0.217242,0.893395,-1.11933
ACBD5,0.316949,0.400723,1.05054,1.05054
ACBD6,8.38E-11,1.49E-08,0.674633,-1.48229
ACCS,0.139081,0.201873,0.766541,-1.30456
ACCSL,0.00230357,0.00632744,2.34769,2.34769
ACD,0.156325,0.223317,0.884207,-1.13096
ACE,0.00793886,0.0181103,0.625757,-1.59806
ACER2,0.189118,0.261862,1.22851,1.22851
ACER3,1.22E-09,8.98E-08,2.00471,2.00471
ACHE,0.0335581,0.0614766,1.76368,1.76368
ACIN1,0.454153,0.537504,1.04044,1.04044
ACKR1,0.96519,0.974136,0.98595,-1.01425
ACKR3,0.000136426,0.000596952,0.600248,-1.66598
ACLY,0.0670163,0.109527,0.891203,-1.12208
ACO1,7.98E-05,0.000382728,0.780857,-1.28064
ACO2,0.0320701,0.0592361,0.85832,-1.16507
ACOT1,0.0687406,0.111799,0.686663,-1.45632
ACOT11,0.000400992,0.00146254,0.544892,-1.83522
ACOT13,3.94E-06,3.30E-05,1.3374,1.3374
ACOT2,9.30E-08,1.82E-06,0.647678,-1.54398
ACOT4,2.48E-05,0.000146138,0.520605,-1.92084
ACOT7,0.462765,0.546247,0.900341,-1.11069
ACOT8,0.0308845,0.057378,1.08386,1.08386
ACOT9,1.29E-05,8.59E-05,1.41936,1.41936
ACOX1,0.000339435,0.00127257,1.47236,1.47236
ACOX3,0.0353936,0.0641711,0.894391,-1.11808
ACOXL,0.189749,0.262554,1.27226,1.27226
ACP1,0.599662,0.673243,0.934637,-1.06993
ACP2,0.848729,0.8848,0.983976,-1.01628
ACP3,0.05101,0.0870701,1.25929,1.25929
ACP5,0.0671977,0.109724,0.79392,-1.25957
ACP6,0.0348167,0.063283,1.19618,1.19618
ACRBP,0.0477344,0.0825474,1.41053,1.41053
ACSBG1,0.999115,0.999399,0.999804,-1.0002
ACSF2,3.84E-09,1.86E-07,0.633164,-1.57937
ACSF3,2.94E-05,0.000168557,0.786265,-1.27184
ACSL1,3.64E-09,1.81E-07,3.28638,3.28638
ACSL3,6.24E-09,2.58E-07,1.6019,1.6019
ACSL4,4.76E-07,6.28E-06,1.88588,1.88588
ACSL5,0.90462,0.927953,0.990656,-1.00943
ACSL6,0.688803,0.75126,0.936907,-1.06734
ACSM3,0.249303,0.328368,0.815883,-1.22567
ACSS1,1.20E-09,8.91E-08,0.5971,-1.67476
ACSS2,0.00183209,0.00523653,1.25853,1.25853
ACSS3,5.64E-05,0.00028569,2.04871,2.04871
ACTA2,0.0144737,0.0303185,1.45674,1.45674
ACTA2-AS1,0.0887571,0.138403,0.806374,-1.24012
ACTB,0.0317424,0.0587592,1.29021,1.29021
ACTBP8,0.0823749,0.129892,2.17065,2.17065
ACTG1,0.210999,0.286771,0.912717,-1.09563
ACTG1P14,0.953635,0.965169,0.99212,-1.00794
ACTG1P20,0.342028,0.426541,0.933483,-1.07126
ACTG1P3,0.24073,0.319035,0.890988,-1.12235
ACTG1P4,0.402936,0.487525,1.15482,1.15482
ACTL6A,0.00129953,0.00390701,0.820049,-1.21944
ACTN1,6.98E-05,0.000342049,1.57818,1.57818
ACTN4,0.333932,0.417931,0.911933,-1.09657
ACTR10,3.01E-06,2.66E-05,1.47021,1.47021
ACTR1A,0.0210707,0.041521,1.14911,1.14911
ACTR1B,1.32E-06,1.39E-05,0.765444,-1.30643
ACTR2,0.0002126,0.000859366,1.28147,1.28147
ACTR3,6.83E-07,8.35E-06,1.37459,1.37459
ACTR3B,0.0975346,0.149622,1.15138,1.15138
ACTR3C,0.395492,0.480217,0.934243,-1.07039
ACTR5,3.66E-07,5.21E-06,0.683463,-1.46314
ACTR6,0.250102,0.32921,1.19663,1.19663
ACTR8,0.000214258,0.000864854,0.874139,-1.14398
ACVR1,0.026945,0.0511066,1.1867,1.1867
ACVR1B,0.000104317,0.000478905,1.58868,1.58868
ACVR1C,0.0679862,0.110797,0.755988,-1.32277
ACVR2A,0.0096265,0.021347,0.760077,-1.31566
ACVR2B,1.13E-07,2.12E-06,0.555831,-1.79911
ACVRL1,9.35E-05,0.000436501,1.68997,1.68997
ACY1,0.000126786,0.000561607,0.665776,-1.50201
ACYP1,0.107998,0.163252,0.859135,-1.16396
ACYP2,0.71112,0.769875,0.985059,-1.01517
ADA,2.13E-07,3.40E-06,0.620901,-1.61056
ADA2,0.00339326,0.00878507,0.714454,-1.39967
ADAL,7.92E-05,0.000380461,0.697529,-1.43363
ADAM10,3.69E-07,5.23E-06,1.42347,1.42347
ADAM12,0.037561,0.0672943,0.718416,-1.39195
ADAM15,0.448744,0.531936,1.07934,1.07934
ADAM17,6.64E-09,2.67E-07,1.69737,1.69737
ADAM19,0.227561,0.3049,1.13444,1.13444
ADAM1A,0.0113513,0.0246284,0.762946,-1.31071
ADAM20,0.411265,0.495683,0.893745,-1.11889
ADAM20P1,0.144345,0.208356,0.843574,-1.18543
ADAM22,0.00380268,0.00967085,0.7121,-1.4043
ADAM23,0.0164596,0.0337841,0.62604,-1.59734
ADAM28,0.000424579,0.00153224,0.627088,-1.59467
ADAM8,0.00108001,0.00334713,1.45645,1.45645
ADAM9,2.07E-13,4.25E-10,2.57778,2.57778
ADAMTS1,5.35E-08,1.21E-06,0.435446,-2.2965
ADAMTS10,1.93E-05,0.000119407,0.553732,-1.80593
ADAMTS17,0.0236322,0.0456169,0.753463,-1.32721
ADAMTS2,0.00464863,0.0114535,2.60523,2.60523
ADAMTS3,0.000185611,0.000768645,3.21511,3.21511
ADAMTS5,0.000230153,0.000917929,0.354434,-2.8214
ADAMTS6,0.939311,0.953641,1.00958,1.00958
ADAMTSL4,0.0478596,0.0827294,1.3607,1.3607
ADAMTSL4-AS1,0.00154336,0.00452186,1.57061,1.57061
ADAMTSL4-AS2,0.000354871,0.00131739,1.97252,1.97252
ADAP1,0.021931,0.0428427,1.1928,1.1928
ADAP2,0.0714147,0.115339,1.2219,1.2219
ADAR,0.000194082,0.000795704,1.59963,1.59963
ADARB1,0.680445,0.74429,0.959799,-1.04188
ADARB2,0.751434,0.804672,0.889942,-1.12367
ADAT1,0.28116,0.362685,0.95149,-1.05098
ADAT2,6.82E-06,5.14E-05,0.685949,-1.45783
ADAT3,0.243589,0.322111,0.87892,-1.13776
ADCK1,0.00495769,0.0121029,0.712025,-1.40444
ADCK2,4.08E-09,1.92E-07,0.661576,-1.51154
ADCK5,0.00123076,0.00373148,0.779728,-1.2825
ADCY10P1,9.13E-07,1.05E-05,1.81989,1.81989
ADCY3,1.18E-07,2.20E-06,3.22079,3.22079
ADCY4,0.0020497,0.00572974,1.4795,1.4795
ADCY6,0.0605482,0.100615,1.45551,1.45551
ADCY7,0.486647,0.569074,1.04946,1.04946
ADCY9,0.000193061,0.000792038,0.699045,-1.43052
ADD1,0.375283,0.460556,1.07184,1.07184
ADD2,0.549108,0.627365,0.920368,-1.08652
ADD3,0.00577841,0.0137972,1.16841,1.16841
ADD3-AS1,0.630845,0.701622,0.918221,-1.08906
ADGRA2,0.0956332,0.147177,0.812779,-1.23035
ADGRA3,0.00354561,0.00910914,0.671681,-1.4888
ADGRD1,0.000172013,0.000722114,0.466081,-2.14555
ADGRE1,0.000258386,0.00101226,2.03904,2.03904
ADGRE2,1.18E-06,1.28E-05,1.99446,1.99446
ADGRE3,0.435789,0.519411,0.879768,-1.13666
ADGRE4P,0.00189651,0.00537823,0.4386,-2.27998
ADGRE5,0.232707,0.310319,1.15151,1.15151
ADGRF5P1,0.5426,0.621412,1.26397,1.26397
ADGRG1,3.00E-05,0.000171365,0.406524,-2.45988
ADGRG3,1.62E-08,5.04E-07,2.74103,2.74103
ADGRG5,2.36E-08,6.66E-07,0.416966,-2.39828
ADGRG6,0.253101,0.332474,0.84058,-1.18966
ADGRL1,0.0337982,0.0618321,0.758041,-1.31919
ADGRL1-AS1,0.0465274,0.0807419,0.881985,-1.13381
ADH5,0.0785609,0.124888,0.885621,-1.12915
ADHFE1,0.000144948,0.000628501,0.689701,-1.4499
ADI1,0.611644,0.684025,1.03972,1.03972
ADIPOR1,0.834922,0.873766,1.04801,1.04801
ADIPOR2,0.000773317,0.00252205,1.21376,1.21376
ADIRF-AS1,0.00620655,0.0146611,0.726997,-1.37552
ADK,0.00325473,0.00848603,0.780869,-1.28062
ADM,7.01E-09,2.79E-07,3.26363,3.26363
ADM2,0.0246047,0.0472439,1.47382,1.47382
ADNP,0.984061,0.987979,1.00083,1.00083
ADNP2,0.0329335,0.0605662,0.903467,-1.10685
ADO,0.0170153,0.0347052,0.858695,-1.16456
ADORA2A,0.000484867,0.00171012,1.3946,1.3946
ADORA2B,8.14E-09,3.06E-07,2.22222,2.22222
ADORA3,0.0389032,0.0694307,0.677393,-1.47625
ADPGK,0.00159943,0.0046556,1.14174,1.14174
ADPGK-AS1,0.0290039,0.0543337,1.276,1.276
ADPRH,0.0441099,0.0771333,1.20579,1.20579
ADPRHL1,0.00109581,0.003391,1.43033,1.43033
ADPRM,0.754306,0.806954,0.976723,-1.02383
ADPRS,0.664361,0.730812,0.977739,-1.02277
ADRA2A,0.00127039,0.00383142,1.95987,1.95987
ADRB2,4.49E-07,6.02E-06,0.639262,-1.5643
ADRM1,0.226403,0.303603,1.06665,1.06665
ADSL,0.0245315,0.047116,0.893018,-1.1198
ADSS2,0.292118,0.374268,1.08117,1.08117
ADTRP,0.283483,0.365222,0.839921,-1.19059
AEBP2,0.499892,0.581394,0.954981,-1.04714
AEN,0.0013799,0.00411358,0.799057,-1.25148
AFAP1,0.606077,0.678856,0.924817,-1.0813
AFAP1L2,0.81006,0.853026,1.0369,1.0369
AFDN,0.294303,0.376597,1.15807,1.15807
AFF1,5.82E-05,0.000293486,1.46301,1.46301
AFF2,0.000288759,0.00110957,1.83141,1.83141
AFF3,0.000123118,0.000548573,0.552507,-1.80993
AFF4,0.000459856,0.00163451,1.21685,1.21685
AFG1L,0.914008,0.934611,0.993736,-1.0063
AFG3L1P,3.82E-05,0.000208092,0.794099,-1.25929
AFG3L2,6.83E-07,8.35E-06,0.737935,-1.35513
AFMID,0.00150179,0.00442292,0.760043,-1.31572
AFTPH,3.67E-07,5.21E-06,1.34304,1.34304
AGA,0.422942,0.507037,0.946514,-1.05651
AGAP1,1.83E-05,0.000114133,0.469012,-2.13214
AGAP2,0.265935,0.34656,1.0765,1.0765
AGAP3,0.00395339,0.00998175,0.701366,-1.42579
AGAP4,0.00258653,0.00699638,0.788804,-1.26774
AGAP5,0.142398,0.20596,0.883395,-1.132
AGAP6,0.0220227,0.0429808,0.817397,-1.2234
AGAP7P,0.000436057,0.0015654,0.315197,-3.17262
AGAP9,0.0192476,0.0385166,0.674683,-1.48218
AGBL2,0.0966394,0.148503,0.857958,-1.16556
AGBL3,0.00850234,0.0191947,0.717021,-1.39466
AGBL5,0.00356841,0.0091528,1.31156,1.31156
AGER,0.198195,0.272045,1.17427,1.17427
AGFG1,4.05E-09,1.92E-07,1.95324,1.95324
AGFG2,1.01E-10,1.72E-08,0.502439,-1.99029
AGGF1,0.0792562,0.12584,1.10773,1.10773
AGGF1P1,0.00839177,0.0189928,0.617253,-1.62008
AGGF1P2,0.0269506,0.0511066,0.609251,-1.64136
AGK,9.00E-10,7.35E-08,0.670811,-1.49073
AGL,0.992666,0.99502,1.00069,1.00069
AGMAT,6.26E-06,4.81E-05,0.601497,-1.66252
AGO1,0.531448,0.611137,1.04673,1.04673
AGO2,0.198138,0.271992,1.13709,1.13709
AGO3,0.182566,0.254481,1.06432,1.06432
AGO4,0.000208231,0.000844319,1.46813,1.46813
AGPAT1,0.00298448,0.00789255,1.44936,1.44936
AGPAT2,0.000168054,0.000709638,1.40597,1.40597
AGPAT3,0.284237,0.36603,1.0841,1.0841
AGPAT4,0.0656849,0.107731,0.83002,-1.20479
AGPAT5,0.000187729,0.000776301,0.769422,-1.29968
AGPS,0.398901,0.483539,1.06323,1.06323
AGRN,0.368957,0.45398,1.20021,1.20021
AGTPBP1,2.88E-05,0.000165666,1.60236,1.60236
AGTRAP,1.17E-08,4.00E-07,1.8724,1.8724
AHCTF1,0.0403557,0.0716582,1.14849,1.14849
AHCTF1P1,3.15E-06,2.75E-05,1.69842,1.69842
AHCY,0.0974696,0.149539,0.877888,-1.1391
AHCYL1,0.676352,0.740849,0.979391,-1.02104
AHCYL2,0.0285037,0.0536135,0.866507,-1.15406
AHDC1,0.328367,0.41229,0.86979,-1.1497
AHI1,4.47E-05,0.000236048,0.655226,-1.52619
AHNAK,1.65E-07,2.81E-06,0.608792,-1.6426
AHR,0.0304806,0.0567377,0.829532,-1.2055
AHRR,0.430652,0.514477,1.14626,1.14626
AHSA1,0.671192,0.736392,0.967772,-1.0333
AHSA2P,0.296484,0.37878,1.04091,1.04091
AHSP,0.847445,0.883654,1.08333,1.08333
AIDA,0.140805,0.203902,1.15728,1.15728
AIDAP2,0.00619749,0.0146445,1.80704,1.80704
AIF1,0.0175791,0.0356256,1.42914,1.42914
AIFM1,0.000551158,0.00190854,0.828196,-1.20744
AIFM2,0.16303,0.23163,0.905156,-1.10478
AIFM3,0.105919,0.160548,0.825368,-1.21158
AIG1,2.75E-06,2.47E-05,1.70127,1.70127
AIM2,1.73E-09,1.10E-07,3.12616,3.12616
AIMP1,0.423522,0.507647,0.923368,-1.08299
AIMP2,0.0009052,0.0028818,0.817668,-1.22299
AIP,0.747496,0.80159,0.978653,-1.02181
AJAP1,0.0378423,0.0677054,0.655938,-1.52454
AJM1,0.000657054,0.0022139,0.660659,-1.51364
AK1,0.16785,0.237048,0.737212,-1.35646
AK2,0.00133126,0.00398823,0.868467,-1.15145
AK3,0.374032,0.459319,0.953988,-1.04823
AK3P3,0.098765,0.151316,0.847077,-1.18053
AK4,1.12E-06,1.23E-05,1.68347,1.68347
AK5,4.17E-06,3.43E-05,0.430793,-2.3213
AK6,0.163781,0.232581,1.23958,1.23958
AK9,0.000159981,0.000681509,1.3148,1.3148
AKAP1,7.30E-09,2.87E-07,0.619863,-1.61326
AKAP10,1.95E-07,3.18E-06,1.28598,1.28598
AKAP11,0.00550264,0.01322,0.813318,-1.22953
AKAP12,0.219719,0.29627,0.711853,-1.40478
AKAP13,0.0484503,0.0836145,1.17597,1.17597
AKAP17A,0.326452,0.410428,0.955585,-1.04648
AKAP3,0.430248,0.514038,0.923869,-1.0824
AKAP5,0.00127492,0.00384187,0.582147,-1.71778
AKAP6,5.74E-05,0.000290247,0.518272,-1.92949
AKAP7,0.150489,0.216139,0.825268,-1.21173
AKAP8,1.48E-05,9.63E-05,0.855286,-1.1692
AKAP8L,0.564477,0.64166,0.967714,-1.03336
AKAP9,0.278814,0.360078,0.932232,-1.07269
AKIP1,0.843706,0.880714,0.987541,-1.01262
AKIRIN1,1.54E-07,2.67E-06,1.32821,1.32821
AKIRIN2,8.07E-11,1.49E-08,1.68735,1.68735
AKNA,0.631536,0.702228,0.953816,-1.04842
AKR1A1,0.132305,0.193503,0.919079,-1.08805
AKR1B1,1.72E-09,1.10E-07,0.629331,-1.58899
AKR1C1,0.00371339,0.00947731,1.80065,1.80065
AKR1C3,0.558988,0.636831,0.903848,-1.10638
AKR1E2,0.942864,0.956573,1.01346,1.01346
AKR7A2,0.00908013,0.0203172,0.798334,-1.25261
AKT1,0.000675783,0.00226532,0.799394,-1.25095
AKT1S1,0.357033,0.441614,0.929805,-1.07549
AKT2,0.245774,0.324612,0.934862,-1.06968
AKT3,0.0001486,0.000641434,0.739816,-1.35169
AKTIP,2.05E-05,0.000124845,1.3389,1.3389
ALAD,0.730796,0.787318,1.02576,1.02576
ALAS1,3.42E-06,2.94E-05,1.37208,1.37208
ALAS2,0.762595,0.814016,1.11566,1.11566
ALCAM,0.0224925,0.0437729,1.23913,1.23913
ALDH16A1,3.48E-08,8.99E-07,0.610335,-1.63844
ALDH18A1,0.000910191,0.00289385,0.709391,-1.40966
ALDH1A1,2.12E-06,2.03E-05,0.403844,-2.4762
ALDH1A2,5.16E-09,2.26E-07,3.34791,3.34791
ALDH1B1,7.28E-07,8.74E-06,0.589661,-1.69589
ALDH1L2,0.622045,0.693498,1.12667,1.12667
ALDH2,0.534241,0.613598,0.88729,-1.12703
ALDH3A2,0.00490871,0.0119976,0.845267,-1.18306
ALDH3B1,0.469074,0.552164,0.924566,-1.08159
ALDH4A1,0.574953,0.651507,1.05339,1.05339
ALDH5A1,0.351789,0.436404,0.86139,-1.16091
ALDH6A1,0.000406123,0.001479,0.80419,-1.24349
ALDH7A1,0.04053,0.0718435,0.73897,-1.35324
ALDH8A1,0.994983,0.996647,1.00074,1.00074
ALDH9A1,0.24896,0.328037,0.938136,-1.06594
ALDOA,0.267994,0.348605,1.08068,1.08068
ALDOC,0.0854501,0.133972,0.85929,-1.16375
ALG1,1.07E-06,1.19E-05,0.736413,-1.35793
ALG10,0.0497915,0.0854366,0.904189,-1.10596
ALG10B,0.00637342,0.0149814,0.78253,-1.27791
ALG11,0.202151,0.276657,0.944206,-1.05909
ALG12,0.00950989,0.0211243,0.865072,-1.15597
ALG13,0.0364094,0.0655825,0.886181,-1.12844
ALG14,0.282666,0.364333,0.900545,-1.11044
ALG1L13P,0.377215,0.462252,0.8853,-1.12956
ALG1L9P,4.35E-05,0.000230887,0.598433,-1.67103
ALG2,0.000241205,0.00095591,0.844375,-1.18431
ALG3,0.00330705,0.0086006,0.789994,-1.26583
ALG5,0.155707,0.222678,0.872941,-1.14555
ALG6,0.0138424,0.029226,1.11007,1.11007
ALG8,9.30E-05,0.000435372,0.788519,-1.2682
ALG9,9.85E-07,1.12E-05,0.791102,-1.26406
ALKBH1,0.284182,0.365991,0.962493,-1.03897
ALKBH2,1.84E-05,0.000114903,0.673637,-1.48448
ALKBH3,0.000125247,0.000556164,0.762877,-1.31083
ALKBH4,2.62E-07,4.00E-06,0.763072,-1.31049
ALKBH5,0.215223,0.291439,0.944662,-1.05858
ALKBH6,0.00170981,0.00493313,0.86729,-1.15302
ALKBH7,0.00300978,0.00794829,0.771326,-1.29647
ALKBH8,1.76E-05,0.000110808,0.678026,-1.47487
ALMS1,5.95E-06,4.63E-05,0.696322,-1.43612
ALMS1-IT1,0.0349657,0.0635154,0.780563,-1.28113
ALMS1P1,0.218087,0.294346,1.47163,1.47163
ALOX12,0.00491196,0.0120001,2.00634,2.00634
ALOX12-AS1,0.312179,0.395562,1.08319,1.08319
ALOX12P2,4.31E-06,3.52E-05,0.435636,-2.29549
ALOX15,0.00147563,0.00435627,0.250102,-3.99837
ALOX15B,0.0847163,0.132996,0.654151,-1.5287
ALOX15P1,3.25E-05,0.000182553,0.527546,-1.89557
ALOX5,4.10E-06,3.39E-05,1.80419,1.80419
ALOX5AP,1.49E-06,1.52E-05,2.12877,2.12877
ALPK1,1.03E-06,1.16E-05,1.95189,1.95189
ALPK3,0.000957698,0.00301951,1.72496,1.72496
ALPL,5.76E-08,1.28E-06,3.53353,3.53353
ALS2,0.198361,0.272247,0.93784,-1.06628
ALS2CL,1.67E-08,5.16E-07,0.485054,-2.06163
ALYREF,1.71E-05,0.000108368,0.747808,-1.33724
AMACR,0.935809,0.951295,0.991508,-1.00857
AMBRA1,0.356428,0.440942,0.938843,-1.06514
AMD1,0.021164,0.0416557,1.14114,1.14114
AMDHD1,0.709579,0.768497,0.94897,-1.05377
AMDHD2,0.243354,0.321889,0.922103,-1.08448
AMER1,1.60E-05,0.000102622,0.634578,-1.57585
AMFR,0.00890092,0.019966,1.34273,1.34273
AMIGO1,1.10E-05,7.59E-05,0.541887,-1.8454
AMIGO2,0.69521,0.756411,1.03891,1.03891
AMMECR1,0.0012881,0.00387589,0.87281,-1.14573
AMMECR1L,0.622034,0.693498,1.02443,1.02443
AMN,0.898027,0.923127,0.982939,-1.01736
AMN1,9.22E-09,3.36E-07,2.03548,2.03548
AMOT,5.41E-09,2.35E-07,0.482343,-2.07321
AMOTL1,0.270171,0.350934,1.22341,1.22341
AMPD2,0.0370806,0.0666079,0.778765,-1.28408
AMPD3,4.03E-05,0.000217046,1.575,1.575
AMPH,0.0223631,0.0435801,1.98424,1.98424
AMT,0.0574519,0.096361,0.813747,-1.22888
AMY2B,0.582287,0.657485,0.966548,-1.03461
AMZ1,0.00777358,0.0177813,0.699603,-1.42938
AMZ2,0.0393908,0.0701614,1.08657,1.08657
AMZ2P1,0.534444,0.613733,1.05713,1.05713
ANAPC1,1.15E-06,1.25E-05,0.712379,-1.40375
ANAPC10,0.780125,0.828421,0.973916,-1.02678
ANAPC11,0.0693449,0.112565,1.12757,1.12757
ANAPC13,6.47E-05,0.000320669,1.23932,1.23932
ANAPC15,0.187035,0.259652,1.13463,1.13463
ANAPC16,0.888498,0.915634,0.992479,-1.00758
ANAPC1P2,0.648812,0.71656,0.975062,-1.02558
ANAPC1P4,0.324254,0.408136,1.09547,1.09547
ANAPC2,0.00576517,0.0137678,0.816941,-1.22408
ANAPC4,0.122229,0.180946,1.06847,1.06847
ANAPC5,1.08E-05,7.45E-05,0.840111,-1.19032
ANAPC7,0.0456053,0.0793332,1.06591,1.06591
ANG,0.21575,0.291932,1.19371,1.19371
ANGEL1,2.94E-05,0.000168778,0.715564,-1.3975
ANGEL2,0.221274,0.297809,0.939452,-1.06445
ANGPT1,0.196971,0.270779,0.757048,-1.32092
ANK1,0.768935,0.819081,1.06696,1.06696
ANK3,0.0200066,0.0397863,0.721606,-1.3858
ANKAR,0.00241732,0.00658453,0.800467,-1.24927
