Probeset ID,pval_severe_vs_healthy,adj_pval_severe_vs_healthy,ratio_severe_vs_healthy,FC_severe_vs_healthy,pval_severe_vs_mild,adj_pval_severe_vs_mild,ratio_severe_vs_mild,FC_severe_vs_mild
VAC14-AS1,0.589476,0.669285,0.924686,-1.08145,0.688577,0.861332,1.12432,1.12432
VAMP1,0.00174581,0.00694158,0.586867,-1.70396,0.120493,0.50069,0.703603,-1.42126
VAMP2,0.00179837,0.00709612,0.621682,-1.60854,0.114884,0.494725,0.74122,-1.34913
VAMP3,0.261815,0.348827,0.848263,-1.17888,0.486918,0.745608,1.09325,1.09325
VAMP4,0.00433366,0.0138352,0.652541,-1.53247,0.253701,0.598724,0.824134,-1.2134
VAMP5,0.0330856,0.0666079,1.50529,1.50529,0.95914,0.983063,1.01236,1.01236
VAMP7,0.748072,0.803648,0.962504,-1.03896,0.370643,0.674656,1.11365,1.11365
VAMP8,0.888345,0.91664,1.01845,1.01845,0.578047,0.798194,1.07406,1.07406
VANGL1,0.172393,0.249238,1.28668,1.28668,0.338797,0.654103,0.831721,-1.20233
VAPA,0.601262,0.67985,1.04621,1.04621,0.0712016,0.458531,1.17665,1.17665
VAPB,0.000482094,0.00274298,0.71528,-1.39805,0.711033,0.871176,0.95448,-1.04769
VARS1,0.362565,0.452647,0.910854,-1.09787,0.999845,1,0.999966,-1.00003
VASH1,0.464669,0.553139,1.1877,1.1877,0.101144,0.482895,1.57368,1.57368
VASN,0.574863,0.65622,0.760526,-1.31488,0.692603,0.862988,0.86901,-1.15074
VASP,0.756449,0.810491,0.965038,-1.03623,0.0312417,0.419193,1.2599,1.2599
VAT1,0.153666,0.227591,1.17179,1.17179,0.0364649,0.429456,1.32981,1.32981
VAV1,0.176825,0.254477,0.88961,-1.12409,0.308799,0.633713,1.09363,1.09363
VAV2,0.00136248,0.00579005,0.637868,-1.56772,0.565729,0.791529,1.14865,1.14865
VAV3,0.086559,0.143706,0.843978,-1.18486,0.871781,0.949633,0.9763,-1.02428
VAV3-AS1,0.81422,0.856303,1.0763,1.0763,0.305417,0.631643,1.44444,1.44444
VBP1,0.107249,0.170797,0.804461,-1.24307,0.352829,0.66152,0.827139,-1.20899
VCAN,0.0625854,0.110837,1.5443,1.5443,0.098872,0.48091,1.86002,1.86002
VCAN-AS1,0.00189254,0.00736553,1.85196,1.85196,0.144363,0.52357,1.56784,1.56784
VCL,0.000385521,0.00234499,2.28501,2.28501,0.0033071,0.265767,2.56031,2.56031
VCP,0.916561,0.938355,0.991878,-1.00819,0.540698,0.778171,1.08056,1.08056
VCPIP1,1.56E-05,0.000295161,0.536367,-1.8644,0.0640846,0.455552,0.777883,-1.28554
VCPKMT,0.00428131,0.0136937,0.530421,-1.88529,0.043596,0.43147,0.615533,-1.62461
VDAC1,0.312864,0.402276,1.11531,1.11531,0.905352,0.96305,1.02038,1.02038
VDAC1P8,0.556626,0.639217,0.902174,-1.10843,0.727893,0.879567,0.958153,-1.04367
VDAC2,0.684021,0.749757,1.04753,1.04753,0.953759,0.980739,0.991107,-1.00897
VDAC2P5,0.335439,0.424878,1.26351,1.26351,0.798166,0.914179,1.10692,1.10692
VDAC3,0.797875,0.844053,0.973789,-1.02692,0.885204,0.954503,1.0204,1.0204
VDR,0.042541,0.0815484,1.37766,1.37766,0.0143695,0.35811,1.50137,1.50137
VEGFA,0.372042,0.4621,0.605431,-1.65172,0.83226,0.932275,0.908407,-1.10083
VEGFB,0.000422732,0.00250003,0.638057,-1.56726,0.306275,0.631725,0.800233,-1.24964
VENTX,0.0649448,0.114169,0.712464,-1.40358,0.87675,0.951641,1.04903,1.04903
VEPH1,0.000128669,0.00113029,5.41905,5.41905,0.0180931,0.384048,3.213,3.213
VEZF1,0.00197596,0.00760812,0.612031,-1.6339,0.0698767,0.457789,0.824586,-1.21273
VEZT,0.0016851,0.00676096,0.629545,-1.58845,0.359001,0.666252,0.868008,-1.15206
VGLL4,0.122832,0.190327,0.845521,-1.1827,0.262023,0.604085,1.10369,1.10369
VHL,0.0026414,0.00944735,0.673236,-1.48536,0.755986,0.893093,0.956885,-1.04506
VIL1,2.24E-05,0.00037259,4.40455,4.40455,0.018224,0.384048,2.53767,2.53767
VILL,0.000127159,0.00112273,0.621605,-1.60874,0.177788,0.550102,0.804577,-1.24289
VIM,0.419538,0.508999,1.12085,1.12085,0.194696,0.563457,1.19482,1.19482
VIM-AS1,0.0302127,0.0620143,0.658873,-1.51774,0.456205,0.726039,0.88057,-1.13563
VIPAS39,0.0352746,0.0701839,0.767971,-1.30213,0.640614,0.833753,0.938819,-1.06517
VIPR1,0.000384986,0.00234435,0.497003,-2.01206,0.428766,0.710274,0.837304,-1.19431
VIPR1-AS1,0.0703518,0.121573,0.650356,-1.53762,0.860912,0.945629,0.939891,-1.06395
VIPR2,0.0351626,0.0699986,0.346677,-2.88453,0.0581278,0.446418,0.440816,-2.26852
VIRMA,0.000727718,0.00367285,0.546106,-1.83115,0.176789,0.549536,0.836331,-1.1957
VKORC1,0.182968,0.261335,1.15582,1.15582,0.24331,0.592086,1.14732,1.14732
VKORC1L1,0.889329,0.917359,0.984872,-1.01536,0.387856,0.683924,1.17622,1.17622
VMA21,0.00245293,0.00896178,0.71639,-1.39589,0.722879,0.877344,0.947766,-1.05511
VMAC,0.212182,0.29463,0.800942,-1.24853,0.346813,0.657185,0.834964,-1.19766
VMO1,0.251742,0.337596,0.638138,-1.56706,0.282612,0.61753,1.96078,1.96078
VMP1,0.0922562,0.151034,0.814631,-1.22755,0.726645,0.87871,1.05824,1.05824
VNN1,0.0087116,0.0236243,2.2588,2.2588,0.270369,0.610155,1.77945,1.77945
VNN2,0.25443,0.340305,0.772281,-1.29487,0.737464,0.883332,1.10146,1.10146
VNN3,0.00206142,0.00783923,1.81032,1.81032,0.0131751,0.354082,2.29652,2.29652
VOPP1,0.339934,0.429395,0.889915,-1.1237,0.3476,0.657455,0.852999,-1.17233
VPREB3,0.191319,0.270986,0.667036,-1.49917,0.477724,0.738723,0.820232,-1.21917
VPS11,0.000579526,0.00311064,0.68116,-1.46808,0.595013,0.809385,0.960748,-1.04086
VPS11-DT,0.855201,0.889662,1.0487,1.0487,0.514331,0.762451,0.868571,-1.15132
VPS13A,0.0322989,0.0654249,0.672337,-1.48735,0.379681,0.678954,0.795812,-1.25658
VPS13B,1.56E-05,0.000295161,0.675581,-1.48021,0.202977,0.568685,0.826028,-1.21061
VPS13B-DT,2.95E-05,0.000440059,1.475,1.475,0.0103058,0.339164,1.42169,1.42169
VPS13C,3.48E-05,0.000491352,0.550131,-1.81775,0.0667178,0.457327,0.729359,-1.37107
VPS13D,1.07E-06,5.45E-05,0.597303,-1.67419,0.207427,0.571432,0.802518,-1.24608
VPS16,0.106471,0.169887,0.866548,-1.154,0.647696,0.837532,1.04642,1.04642
VPS18,0.00305143,0.0105246,0.703229,-1.42201,0.827455,0.929728,1.02474,1.02474
VPS25,0.129314,0.198294,1.21644,1.21644,0.0888856,0.472714,1.21587,1.21587
VPS26A,0.0535134,0.0978642,0.774414,-1.2913,0.881824,0.953088,0.978123,-1.02237
VPS26B,0.00681342,0.0195559,0.715393,-1.39783,0.640561,0.833753,0.943802,-1.05954
VPS26C,0.00772947,0.0215554,0.763373,-1.30998,0.948582,0.978703,0.993297,-1.00675
VPS28,0.0925571,0.151433,0.835009,-1.19759,0.36727,0.672072,0.866714,-1.15378
VPS29,0.933784,0.950947,0.990307,-1.00979,0.908961,0.964199,0.984025,-1.01623
VPS33A,0.00586656,0.0174319,0.706142,-1.41615,0.475134,0.738057,0.915601,-1.09218
VPS33B,0.0177807,0.0409512,0.707635,-1.41316,0.363314,0.669238,0.851385,-1.17456
VPS35,0.00323595,0.0110298,0.727361,-1.37483,0.896379,0.959229,1.01403,1.01403
VPS35L,0.0655124,0.114989,0.83744,-1.19412,0.966439,0.985968,1.00536,1.00536
VPS36,0.000513386,0.00286694,0.664235,-1.50549,0.978474,0.991069,1.00416,1.00416
VPS37A,0.00137842,0.00582434,0.650938,-1.53624,0.464653,0.731936,0.908908,-1.10022
VPS37B,0.0836194,0.13963,0.726391,-1.37667,0.769554,0.899993,0.955024,-1.04709
VPS37C,0.129155,0.198111,0.785721,-1.27272,0.0167583,0.372477,1.63054,1.63054
VPS39,0.00031249,0.00203821,0.70426,-1.41993,0.756469,0.89333,0.966012,-1.03518
VPS41,0.0362908,0.0718098,0.806025,-1.24066,0.378671,0.678458,1.09855,1.09855
VPS45,0.0255887,0.054429,0.740222,-1.35095,0.824352,0.927984,0.974907,-1.02574
VPS4A,0.0665554,0.116364,0.873364,-1.145,0.866189,0.947521,0.982302,-1.01802
VPS4B,5.74E-05,0.000670762,0.563973,-1.77313,0.297695,0.627323,0.845931,-1.18213
VPS50,4.08E-05,0.000538676,0.496008,-2.0161,0.164295,0.539494,0.749167,-1.33482
VPS51,0.00329282,0.0111953,0.723414,-1.38233,0.280103,0.616063,0.862785,-1.15904
VPS52,0.000955593,0.00446215,0.734812,-1.36089,0.449162,0.722298,0.902524,-1.108
VPS53,0.0308971,0.0632261,0.811892,-1.23169,0.463997,0.731681,0.923655,-1.08266
VPS54,0.000629753,0.00329884,0.638093,-1.56717,0.413698,0.701066,0.899647,-1.11155
VPS72,0.0294408,0.0607417,0.731111,-1.36778,0.342052,0.655364,0.880195,-1.13611
VPS8,0.0221126,0.048633,0.790015,-1.2658,0.483665,0.744135,1.09857,1.09857
VPS9D1,0.0345309,0.0688988,1.3037,1.3037,0.149671,0.527857,1.23261,1.23261
VPS9D1-AS1,0.0812823,0.136684,1.54545,1.54545,0.339425,0.654387,1.30818,1.30818
VRK1,0.140582,0.211862,0.830638,-1.20389,0.226211,0.582909,0.725817,-1.37776
VRK2,0.0125659,0.0313364,0.66328,-1.50766,0.073274,0.460559,0.754029,-1.32621
VRK3,0.000345497,0.00217672,0.691173,-1.44682,0.104943,0.485713,0.820052,-1.21944
VSIG1,5.72E-05,0.00066998,0.295111,-3.38856,0.0249782,0.403007,0.479608,-2.08503
VSIG10,0.980474,0.98595,0.996094,-1.00392,0.882379,0.953447,0.967742,-1.03333
VSIG10L,0.000921487,0.00433988,2.14604,2.14604,0.140032,0.519652,1.48094,1.48094
VSIG2,9.86E-07,5.12E-05,3.57234,3.57234,0.00115888,0.22264,3.08861,3.08861
VSIG4,0.000242055,0.00171294,3.94041,3.94041,0.284629,0.618467,2.03591,2.03591
VSIR,0.792126,0.839694,0.965894,-1.03531,0.110669,0.490968,1.29265,1.29265
VSTM1,0.719632,0.780035,0.869106,-1.15061,0.183183,0.554778,1.46275,1.46275
VTA1,0.0243861,0.0525099,0.69393,-1.44107,0.40266,0.694075,0.853004,-1.17233
VTI1A,0.00417745,0.0134452,0.7881,-1.26887,0.412493,0.700334,0.925172,-1.08088
VTI1B,0.85702,0.89124,0.983799,-1.01647,0.133866,0.514878,1.13287,1.13287
VWA5A,0.00126782,0.00547907,1.44229,1.44229,0.0630318,0.453642,1.42251,1.42251
VWA7,0.849426,0.884773,0.944444,-1.05882,0.361059,0.66769,0.850242,-1.17614
VWA8,3.52E-05,0.000494905,0.559326,-1.78787,0.182309,0.554169,0.763184,-1.3103
VWDE,0.0918801,0.150469,0.346567,-2.88545,0.334013,0.651339,0.557457,-1.79386
VWF,6.55E-09,1.51E-06,5.78099,5.78099,0.000110229,0.188289,4.24951,4.24951
WAC,0.000636921,0.00332873,0.672308,-1.48741,0.155607,0.532817,0.846025,-1.182
WAC-AS1,0.00829654,0.0227616,0.555037,-1.80168,0.289661,0.622556,0.760279,-1.31531
WAKMAR2,0.000917896,0.00432848,0.291748,-3.42762,0.017404,0.377722,0.470327,-2.12618
WAPL,0.000573027,0.00308359,0.654994,-1.52673,0.270242,0.609999,0.865045,-1.15601
WARS1,0.0339565,0.0679727,0.64405,-1.55267,0.0558068,0.446418,0.776171,-1.28838
WARS2,2.36E-05,0.000383046,0.535359,-1.86791,0.0355472,0.427859,0.713894,-1.40077
WARS2-AS1,0.000687913,0.00351391,0.466794,-2.14227,0.259062,0.602674,0.684577,-1.46076
WAS,0.626896,0.702391,1.0515,1.0515,0.1927,0.561034,1.20951,1.20951
WASF1,4.57E-07,3.02E-05,3.37886,3.37886,0.00938992,0.329941,2.12615,2.12615
WASF2,0.0816744,0.137187,0.878668,-1.13809,0.0159054,0.367639,1.2666,1.2666
WASH2P,0.812234,0.855005,0.95753,-1.04435,0.799486,0.914863,1.06099,1.06099
WASH3P,0.0292581,0.0604069,0.591253,-1.69132,0.350085,0.659384,0.811245,-1.23267
WASH5P,0.856068,0.890439,0.958754,-1.04302,0.694362,0.864112,0.896321,-1.11567
WASH6P,0.372196,0.462253,1.23236,1.23236,0.316563,0.639131,1.3166,1.3166
WASH8P,0.269372,0.356903,0.699747,-1.42909,0.480724,0.741771,0.778973,-1.28374
WASH9P,0.563582,0.645884,0.871003,-1.1481,0.207297,0.571432,1.37226,1.37226
WASHC1,0.345439,0.434863,0.775439,-1.28959,0.856117,0.943514,1.05405,1.05405
WASHC2A,0.000612181,0.0032422,0.616634,-1.62171,0.083568,0.468088,0.814888,-1.22716
WASHC2C,0.000542109,0.00297016,0.699105,-1.4304,0.510481,0.759636,0.926998,-1.07875
WASHC3,0.135433,0.205694,0.81612,-1.22531,0.205497,0.569485,0.777703,-1.28584
WASHC4,0.00234794,0.00867243,0.671474,-1.48926,0.822128,0.926679,0.965341,-1.0359
WASHC5,0.0071749,0.0203759,0.732523,-1.36514,0.857693,0.944534,0.97782,-1.02268
WASL,5.74E-05,0.000670762,0.598392,-1.67114,0.117902,0.497414,0.80731,-1.23868
WASL-DT,0.160568,0.235783,1.26778,1.26778,0.0663675,0.457327,1.3381,1.3381
WBP1,0.0180209,0.0414141,0.721253,-1.38648,0.942278,0.976197,0.989595,-1.01051
WBP11,0.00137709,0.00582035,0.709524,-1.4094,0.269621,0.609303,0.852859,-1.17253
WBP1L,0.00618903,0.01818,0.724393,-1.38047,0.304,0.631257,1.11778,1.11778
WBP2,0.00830448,0.0227665,1.26105,1.26105,0.00312977,0.263089,1.411,1.411
WBP2NL,0.116458,0.18238,0.758364,-1.31863,0.622659,0.823169,0.876712,-1.14063
WBP4,0.0016391,0.00662693,0.774896,-1.2905,0.501094,0.752252,0.90518,-1.10475
WDCP,0.00252863,0.00916589,0.379991,-2.63164,0.201895,0.568124,0.649842,-1.53883
WDFY1,0.000335125,0.00213226,0.565258,-1.7691,0.0899348,0.474092,0.774136,-1.29176
WDFY2,0.00664068,0.0191679,0.822918,-1.21519,0.489763,0.747298,1.07887,1.07887
WDFY3,0.0714424,0.12309,1.24817,1.24817,0.00750719,0.311439,1.71376,1.71376
WDFY3-AS2,2.36E-07,1.94E-05,2.42527,2.42527,0.00016992,0.188289,2.1913,2.1913
WDFY4,0.413873,0.50353,0.870615,-1.14861,0.116968,0.497142,1.54519,1.54519
WDHD1,0.660588,0.731169,1.0581,1.0581,0.571619,0.795436,0.845343,-1.18295
WDPCP,1.43E-06,6.58E-05,0.581089,-1.72091,0.139124,0.518676,0.852399,-1.17316
WDR1,0.0880036,0.145498,1.14919,1.14919,0.00398621,0.266824,1.3049,1.3049
WDR11,0.000144209,0.00121141,0.60255,-1.65961,0.81041,0.920203,1.03378,1.03378
WDR11-AS1,0.0723442,0.124236,2.34117,2.34117,0.310771,0.635329,1.73414,1.73414
WDR12,0.363086,0.453207,0.899452,-1.11179,0.757751,0.893892,1.05712,1.05712
WDR13,0.744397,0.800572,1.02464,1.02464,0.23018,0.584398,1.09095,1.09095
WDR17,0.0216983,0.0478771,0.434008,-2.30411,0.527867,0.769183,0.76259,-1.31132
WDR18,0.928996,0.947307,1.01217,1.01217,0.796682,0.913138,0.963829,-1.03753
WDR19,0.000168505,0.00135252,0.539841,-1.8524,0.370129,0.674419,0.810215,-1.23424
WDR20,3.62E-06,0.000117288,0.461572,-2.16651,0.0675878,0.457327,0.76796,-1.30215
WDR24,0.0291094,0.0601502,0.697417,-1.43386,0.224579,0.58229,0.879399,-1.13714
WDR25,0.0385946,0.0753503,0.683015,-1.4641,0.860348,0.945533,0.97561,-1.025
WDR26,0.494326,0.580426,1.05977,1.05977,0.971342,0.988204,1.00438,1.00438
WDR27,2.85E-06,0.000100964,0.546164,-1.83095,0.223961,0.582209,0.804954,-1.24231
WDR3,4.38E-06,0.000130604,0.460122,-2.17334,0.211844,0.574801,0.7564,-1.32205
WDR31,0.00923462,0.0246941,1.72024,1.72024,0.292047,0.624675,1.54545,1.54545
WDR33,0.000176189,0.00139452,0.554356,-1.8039,0.0557718,0.446418,0.75757,-1.32001
WDR35,0.000313563,0.00204161,0.550117,-1.81779,0.408464,0.698944,0.869822,-1.14966
WDR36,0.00110991,0.0049589,0.575244,-1.73839,0.353961,0.662218,0.835393,-1.19704
WDR37,1.56E-05,0.000295161,0.543379,-1.84034,0.341915,0.655364,0.85952,-1.16344
WDR4,0.918315,0.939458,0.989224,-1.01089,0.783993,0.907576,0.956034,-1.04599
WDR41,0.63431,0.708766,0.931839,-1.07315,0.427333,0.709761,1.16324,1.16324
WDR43,0.028555,0.0592695,0.747667,-1.33749,0.145561,0.524168,0.78055,-1.28115
WDR44,0.00215514,0.00811221,0.58805,-1.70053,0.83409,0.933053,0.965706,-1.03551
WDR45,0.185248,0.26398,0.891659,-1.12151,0.810237,0.920203,1.02576,1.02576
WDR45B,0.00111801,0.00498304,0.66213,-1.51028,0.847155,0.93963,0.979742,-1.02068
WDR46,0.0183379,0.0419277,0.733812,-1.36275,0.427906,0.71004,0.899626,-1.11157
WDR47,0.000542703,0.00297159,0.451065,-2.21697,0.078913,0.46431,0.751901,-1.32996
WDR48,1.36E-05,0.000275123,0.587964,-1.70078,0.0339882,0.422768,0.767934,-1.3022
WDR49,0.00610578,0.017995,0.38042,-2.62868,0.504946,0.755504,0.812698,-1.23047
WDR5,0.102905,0.165195,0.807671,-1.23813,0.584618,0.80225,0.933243,-1.07153
WDR53,0.00339995,0.0114464,0.64627,-1.54734,0.0826975,0.466693,0.717334,-1.39405
WDR54,0.00738524,0.0208327,0.682062,-1.46614,0.0309787,0.419193,0.666827,-1.49964
WDR55,0.00330064,0.0112089,0.765675,-1.30604,0.408995,0.699094,0.923175,-1.08322
WDR59,0.000540978,0.00296994,0.671703,-1.48875,0.348265,0.657967,0.850497,-1.17578
WDR5B,0.00152982,0.00627408,0.35927,-2.78342,0.867842,0.948019,0.93617,-1.06818
WDR5B-DT,0.0353019,0.0702041,0.469952,-2.12788,0.303552,0.631034,0.661871,-1.51087
WDR6,5.89E-05,0.000680659,0.541974,-1.84511,0.60258,0.812886,0.922077,-1.08451
WDR61,0.0174553,0.0403525,0.704819,-1.4188,0.219901,0.580115,0.79654,-1.25543
WDR62,3.06E-05,0.000451832,2.19417,2.19417,0.796843,0.913138,1.07482,1.07482
WDR7,7.17E-06,0.000181424,0.602182,-1.66063,0.163925,0.539224,0.821569,-1.21718
WDR70,2.90E-05,0.000435353,0.614326,-1.6278,0.168114,0.542494,0.789678,-1.26634
WDR73,0.000194343,0.00148498,0.546227,-1.83074,0.166969,0.541967,0.731132,-1.36774
WDR74,0.00264374,0.00945342,0.448559,-2.22936,0.0201347,0.389847,0.675602,-1.48016
WDR75,0.000250101,0.00174599,0.444932,-2.24753,0.205319,0.569485,0.732598,-1.365
WDR76,0.235843,0.320139,1.21369,1.21369,0.409256,0.699252,0.752026,-1.32974
WDR77,0.0543614,0.0991333,0.792607,-1.26166,0.942791,0.976544,1.00995,1.00995
WDR81,0.003792,0.0124739,0.594515,-1.68204,0.862385,0.946136,1.02236,1.02236
WDR82,6.63E-05,0.000738214,0.493353,-2.02694,0.216987,0.579763,0.798404,-1.2525
WDR83,0.264429,0.351456,0.891481,-1.12173,0.869386,0.948852,0.963618,-1.03776
WDR86,0.0494264,0.092,0.467259,-2.14014,0.297436,0.627288,0.768362,-1.30147
WDR86-AS1,0.0525709,0.0965202,0.484518,-2.06391,0.213864,0.576245,0.648,-1.54321
WDR88,0.978847,0.984704,0.992701,-1.00735,0.585797,0.802825,0.815287,-1.22656
WDR89,1.74E-05,0.000316604,0.254295,-3.93244,0.0729616,0.460549,0.515964,-1.93812
WDR90,0.0534953,0.0978432,0.736966,-1.35691,0.883021,0.95361,0.950311,-1.05229
WDR91,1.97E-07,1.73E-05,0.443243,-2.2561,0.277952,0.61402,0.836607,-1.1953
WDR92,0.0411707,0.0793433,0.614258,-1.62798,0.43936,0.717216,0.778947,-1.28378
WDR97,0.395841,0.486029,0.643689,-1.55354,0.520324,0.765657,1.2,1.2
WDSUB1,0.71812,0.77888,0.954147,-1.04806,0.547365,0.780687,0.923473,-1.08287
WDTC1,0.105468,0.168542,0.847161,-1.18041,0.376813,0.677834,1.13391,1.13391
